Particulars,"Nine months ended December 31, 2025",
,Amount (₹ million),As a Percentage of Total Income (%)
Income,,
Revenue from operations,"7,706.65",99.40
Other income,46.41,0.60
Total income,"7,753.06",100.00
Expenses,,
Cost of materials consumed,"4,924.51",63.52
"Changes in inventories of finished goods and
work-in-progress",(182.40),(2.35)
Employee benefits expense,661.90,8.54
Finance costs,72.19,0.93
Depreciation and amortization expense,455.82,5.88
Other expenses,738.34,9.52
Total expenses,"6,670.36",86.04
Profit before tax,"1,082.70",13.96
Tax expense,,
Current tax,174.30,2.25
Deferred tax expense / (credit),193.42,2.49
Total tax expense,367.72,4.74
Profit for the period,714.98,9.22
Other comprehensive income,,
"Items that will not be reclassified to profit or
loss",,
Remeasurements of defined benefit liability,(11.50),(0.15)
Income-tax related to above item,4.02,0.05
"Other comprehensive expense for the period
(net of tax)",(7.48),(0.10)
Total comprehensive income for the period,707.50,9.13
