,Fiscal 2025,,Fiscal 2024,
,Amount (₹million),As a Percentage,Amount (₹million),As a Percentage of
Particulars,,,,
,,of Total Income,,Total Income (%)
,,(%),,
Income,,,,
Revenue from operations,"6,583.63",99.37,"5,306.53",99.02
Other income,41.73,0.63,52.43,0.98
Total income,"6,625.36",100.00,"5,358.96",100.00
Expenses,,,,
Cost of materials consumed,"4,146.09",62.58,"3,667.74",68.44
Changes in inventories of finished goods and work-in-,(39.56),(0.60),(37.59),(0.70)
progress,,,,
Employee benefits expense,614.29,9.27,427.65,7.98
Finance costs,120.30,1.82,384.48,7.17
Depreciation and amortization expense,453.39,6.84,358.63,6.69
Other expenses,653.86,9.87,469.92,8.77
Total expenses,"5,948.37",89.78,"5,270.83",98.36
Profit before tax,676.99,10.22,88.13,1.64
Tax expense,,,,
Current tax,129.00,1.95,62.50,1.17
Deferred tax expense / (credit),77.54,1.17,(33.15),(0.62)
Total tax expense,206.54,3.12,29.35,0.55
Profit for the year,470.45,7.10,58.78,1.10
Other comprehensive income,,,,
Items that will not be reclassified to profit or loss,,,,
Remeasurements of defined benefit liability,(6.98),(0.11),(4.33),(0.08)
Income-tax related to above item,2.03,0.03,1.26,0.02
Other comprehensive expense for the year (net of tax),(4.95),(0.07),(3.07),(0.06)
Total comprehensive income for the year,465.50,7.03,55.71,1.04
