page,table_index,rows,cols,csv_file,csv_path
339,0,9,3,page_0339_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0339_table_00.csv
354,0,9,12,page_0354_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0354_table_00.csv
355,0,14,12,page_0355_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0355_table_00.csv
356,0,9,11,page_0356_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0356_table_00.csv
356,1,3,6,page_0356_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0356_table_01.csv
356,2,3,6,page_0356_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0356_table_02.csv
357,0,3,6,page_0357_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0357_table_00.csv
357,1,3,6,page_0357_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0357_table_01.csv
358,0,22,4,page_0358_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0358_table_00.csv
359,0,9,4,page_0359_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0359_table_00.csv
359,1,3,6,page_0359_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0359_table_01.csv
359,2,3,6,page_0359_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0359_table_02.csv
359,3,3,6,page_0359_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0359_table_03.csv
360,0,3,6,page_0360_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0360_table_00.csv
361,0,22,3,page_0361_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0361_table_00.csv
364,0,11,9,page_0364_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0364_table_00.csv
364,1,11,9,page_0364_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0364_table_01.csv
365,0,11,9,page_0365_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0365_table_00.csv
365,1,11,9,page_0365_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0365_table_01.csv
374,0,7,6,page_0374_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0374_table_00.csv
374,1,6,6,page_0374_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0374_table_01.csv
374,2,15,6,page_0374_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SEDEMAC MECHATRONICS LIMITED - RHP\dumped_tables\page_0374_table_02.csv
