As at 31 December 2025,Amount in CWIP for a period of,,,,
,"Less than
1 year",1-2 years,2-3 years,"More than 3
years",Total
,3.96,,3.59,-,7.55
As at 31 March 2025,Amount in CWIP for a period of,,,,
,"Less than
1 year",1-2 years,2-3 years,"More than 3
years","Total
352"
Projects in progress,35.60,3.59,-,-,39.19
As at 31 December 2025,Amount of intangible assets under development for a period of,,,,
,"Less than 1
year",1-2 years,2-3 years,"More than 3 years
*",Total
Projects in progress,92.72,291.08,113.30,178.20,675.30
As at 31 March 2025,Amount of intangible assets under development for a period of,,,,
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years*",Total
Projects in progress,75.98,100.81,167.27,149.12,493.18
