Particulars,"Product
Development","Software (Other
than internally
developed)",Total
"Gross carrying amount
Balance as at 01 April 2022 (refer note (a))
Additions
Disposals/adjustments","407.11
204.05
-","45.19
18.32
1.27","452.30
222.37
1.27"
Balance as at 31 March 2023,611.16,62.24,673.40
"Opening accumulated depreciation adjusted against gross carrying
amount (refer note (a))
Balance as at 1 April 2023*
Additions","(138.51)
472.65
134.00","(13.60)
48.64
24.33","(152.11)
521.29
158.33"
Balance as at 31 March 2024,606.65,72.97,679.62
"Additions
Deletion","415.00
-","13.68
2.37","428.68
2.37"
Balance as at 31 March 2025,"1,021.65",84.28,"1,105.93"
"Additions
Deletion",103.60,18.39,"121.99
-"
Balance as at 31 December 2025,"1,125.25",102.67,"1,227.92"
"Accumulated amortization
Balance as at 01 April 2022 (refer note (a))
Amortization for the year
Accumulated amortization on disposal","-
138.51
-","-
14.87
1.27","-
153.38
1.27"
Balance as at 31 March 2023,138.51,13.60,152.11
"Adjusted against gross carrying amount (refer note (a))
Balance as at 1 April 2023
Amortization for the year","(138.51)
-
154.46","(13.60)
-
17.86","(152.11)
-
172.32"
Balance as at 31 March 2024,154.46,17.86,172.32
"Amortization for the year
Accumulated amortization on disposal
Impairment loss","185.22
-
41.66","19.67
2.32
-","204.89
2.32
41.66"
Balance as at 31 March 2025,381.34,35.21,416.55
Amortization for the period,152.43,16.54,168.97
Balance as at 31 December 2025,533.77,51.75,585.52
Net block,,,
As at 31 March 2023,472.65,48.64,521.29
As at 31 March 2024,452.19,55.11,507.30
As at 31 March 2025,640.31,49.07,689.38
As at 31 December 2025,591.48,50.92,642.40
Particulars,"Product
Development","Software (Other
than internally
developed)",Total
"Balance as at 01 April 2022
Additions
Disposals/adjustments
Impairment loss","313.10
302.92
204.06
0.18","0.20
19.37
18.31
-","313.30
322.29
222.37
0.18"
Balance as at 31 March 2023,411.78,1.26,413.04
"Ind AS adjustments
Balance as at 1 April 2023
Additions
Capitalised during the year
Impairment Loss","-
411.78
318.46
134.00
10.75","-
1.26
24.21
24.33
-","-
413.04
342.67
158.33
10.75"
Balance as at 31 March 2024,585.49,1.14,586.63
"Additions
Capitalised during the year
Impairment loss","330.33
415.00
8.76","13.66
13.68
-","343.99
428.68
8.76"
Balance as at 31 March 2025,492.06,1.12,493.18
"Additions
Capitalised during the period","286.84
103.60","17.27
18.39","304.11
121.99"
Balance as at 31 December 2025,675.30,-,675.30
