Particulars,Building,Total
"Cost
Balance as at 01 April 2022
Additions","285.18
-","285.18
-"
Balance as at 31 March 2023,285.18,285.18
"Ind AS adjustments
Balance as at 1 April 2023
Additions","(45.88)
239.30
1.12","(45.88)
239.30
1.12"
Balance as at 31 March 2024,240.42,240.42
Additions,8.91,8.91
Balance as at 31 March 2025,249.33,249.33
Additions,160.11,160.11
Balance as at 31 December 2025,409.44,409.44
"Accumulated depreciation
Balance as at 01 April 2022
Depreciation for the year","-
56.76","-
56.76"
Balance as at 31 March 2023,56.76,56.76
"Ind AS adjustments
Balance as at 1 April 2023
Depreciation for the year","2.82
-
59.58","2.82
-
59.58"
Balance as at 31 March 2024,59.58,59.58
Depreciation for the year,61.19,61.19
Balance as at 31 March 2025,120.77,120.77
Depreciation for the period,64.93,64.93
Balance as at 31 December 2025,185.70,185.70
Net block,,
As at 31 March 2023,228.42,228.42
As at 31 March 2024,180.84,180.84
As at 31 March 2025,128.56,128.56
As at 31 December 2025,223.74,223.74
