Particulars,"Unbilled
receivable*",Not due,Outstanding for following periods from due date of,,,,,Total
,,,"Less than 6
months","6 months -
1 year",1-2 years,2-3 years,"More than
3 years",
"(i) Undisputed Trade receivables
– considered good",12.84,"1,113.48",306.38,5.19,1.31,0.14,0.52,"1,439.86"
"(ii) Undisputed Trade Receivables
– significant increase in credit risk",-,-,-,-,-,-,-,-
"(iii) Undisputed Trade
Receivables – credit impaired",-,-,-,-,-,-,-,-
"(iv) Disputed Trade Receivables –
considered good",-,-,-,-,-,-,-,-
"(v) Disputed Trade Receivables –
significant increase in credit risk",-,-,-,-,-,-,-,-
"(vi) Disputed Trade Receivables –
credit impaired",-,-,-,-,-,-,-,-
Total,12.84,"1,113.48",306.38,5.19,1.31,0.14,0.52,"1,439.86"
Less : Provision for expected credit loss,,,,,,,,(9.46)
Total,,,,,,,,"1,430.40"
Particulars,"Unbilled
receivable*",Not due,"Outstanding for following periods from due date of
payment",,,,,Total
,,,"Less than 6
months","6 months -
1 year",1-2 years,2-3 years,"More than
3 years",
"(i) Undisputed Trade receivables
– considered good",21.79,328.04,90.16,0.47,0.32,0.04,0.35,441.17
"(ii) Undisputed Trade Receivables
– significant increase in credit risk",-,-,-,-,-,-,-,-
"(iii) Undisputed Trade
Receivables – credit impaired",-,-,-,-,-,-,-,-
"(iv) Disputed Trade Receivables –
considered good",-,-,-,-,-,-,-,-
"(v) Disputed Trade Receivables –
significant increase in credit risk",-,-,-,-,-,-,-,-
"(vi) Disputed Trade Receivables –
credit impaired",-,-,-,-,-,-,-,-
Total,21.79,328.04,90.16,0.47,0.32,0.04,0.35,441.17
Less : Provision for expected credit loss,,,,,,,,(1.74)
Total,,,,,,,,439.43
Particulars,"Unbilled
receivable*",Not due,"Outstanding for following periods from due date of
payment",,,,,Total
,,,"Less than 6
months","6 months -
1 year",1-2 years,2-3 years,"More than
3 years",
"(i) Undisputed Trade receivables
– considered good",17.12,201.54,51.69,1.38,1.18,-,-,272.91
"(ii) Undisputed Trade Receivables
– significant increase in credit risk",-,-,-,-,-,-,-,-
"(iii) Undisputed Trade
Receivables – credit impaired",-,-,-,-,-,-,-,-
"(iv) Disputed Trade Receivables –
considered good",-,-,-,-,-,-,-,-
"(v) Disputed Trade Receivables –
significant increase in credit risk",-,-,-,-,-,-,-,-
"(vi) Disputed Trade Receivables –
credit impaired",-,-,-,-,-,-,-,-
Total,17.12,201.54,51.69,1.38,1.18,-,-,272.91
Less : Provision for expected credit loss,,,,,,,,(2.62)
Total,,,,,,,,270.29
Particulars,"Unbilled
receivable*",Not due,"Outstanding for following periods from due date of
payment",,,,,Total
,,,"Less than 6
months","6 months -
1 year",1-2 years,2-3 years,"More than
3 years",
"(i) Undisputed Trade receivables
– considered good",3.71,130.29,18.99,0.80,-,-,-,153.79
"(ii) Undisputed Trade Receivables
– significant increase in credit risk",-,-,,,-,-,-,-
"(iii) Undisputed Trade
Receivables – credit impaired",-,-,-,-,-,-,-,-
"(iv) Disputed Trade Receivables –
considered good",-,-,-,-,-,-,-,-
"(v) Disputed Trade Receivables –
significant increase in credit risk",-,-,-,-,-,-,-,-
"(vi) Disputed Trade Receivables –
credit impaired",-,-,-,-,-,3.36,-,3.36
Total,3.71,130.29,18.99,0.80,-,3.36,-,157.15
Less : Provision for expected credit loss,,,,,,,,(4.69)
Total,,,,,,,,152.46
