Loans,"Outstanding
loan amount","Repayment in
instalments",Repayment,,"Rate of
interest"
,,,Starting from,Ending on,
"HDFC Bank Limited - Term
Loan",63.86,60 (Monthly),August 2019,January 2025,9.43%
,,59 (Monthly),September 2019,January 2025,
,,56 (Monthly),November 2019,January 2025,
,,60 (Monthly),December 2020,November 2025,
HDFC Bank Limited - Car,1.69,60 (Monthly),March 2020,February 2025,8.60%
HDFC Bank Limited - ECLGS,10.86,36 (Monthly),October 2021,September 2024,9.25%
"ICICI Bank Limited - Term
Loan",32.03,14 (Quarterly),January 2022,April 2025,8.40%
,93.56,17 (Quarterly),February 2023,May 2027,11.25%
IndusInd Bank - Term Loan,88.97,19 (Quarterly),June 2023,December 2027,9.45%
Exim Bank - Term Loan,100.64,20 (Quarterly),October 2023,July 2028,8.50%
"Bajaj Finance Limited-ECLGS
Loan",24.14,36 (Monthly),November 2021,October 2024,9.90%
Bajaj Finance Limited - Term,72.36,60 (Monthly),August 2021,July 2026,9.40%
