Particulars,Not due,Outstanding for following periods from due date of,,,,Total
,,"Less than 1
year",1-2 years,2-3 years,"More than
3 years",
"(i) Total outstanding dues of micro
enterprises and small
enterprises",83.47,-,-,-,-,83.47
"(ii) Total outstanding dues of
creditors other than micro
enterprises and small
enterprises",922.04,106.32,0.09,0.87,4.64,"1,033.96"
"(iii) Disputed dues of micro
enterprises and small
enterprises",-,-,-,-,-,-
"(iv) Disputed dues of creditors other
than micro enterprises and
small enterprises",-,-,-,-,-,-
Total,"1,005.51",106.32,0.09,0.87,4.64,"1,117.43"
Add : Accrued expenses,,,,,,309.32
Total,,,,,,"1,426.75"
Particulars,Not due,Outstanding for following periods from due date of,,,,Total
,,"Less than 1
year",1-2 years,2-3 years,"More than
3 years",
"(i) Total outstanding dues of micro
enterprises and small
enterprises",29.22,-,-,-,-,29.22
"(ii) Total outstanding dues of
creditors other than micro
enterprises and small
enterprises",515.40,8.08,-,5.44,-,528.92
"(iii) Disputed dues of micro
enterprises and small
enterprises",-,-,-,-,-,-
"(iv) Disputed dues of creditors other
than micro enterprises and
small enterprises",-,-,-,-,-,-
Total,544.62,8.08,-,5.44,-,558.14
Add : Accrued expenses,,,,,,299.68
Total,,,,,,857.82
Particulars,Not due,Outstanding for following periods from due date of,,,,Total
,,"Less than 1
year",1-2 years,2-3 years,"More than
3 years",
"(i) Total outstanding dues of micro
enterprises and small
enterprises",28.80,-,-,-,-,28.80
"(ii) Total outstanding dues of
creditors other than micro
enterprises and small
enterprises",408.05,49.03,5.25,3.87,-,466.20
"(iii) Disputed dues of micro
enterprises and small
enterprises",-,-,-,-,-,-
"(iv) Disputed dues of creditors other
than micro enterprises and
small enterprises",-,-,-,-,-,-
Total,436.85,49.03,5.25,3.87,-,495.00
Add : Accrued expenses,,,,,,272.33
Total,,,,,,767.33
Particulars,Not due,Outstanding for following periods from due date of,,,,Total
,,"Less than 1
year",1-2 years,2-3 years,"More than
3 years",
"(i) Total outstanding dues of micro
enterprises and small
enterprises",20.61,0.07,-,-,-,20.68
"(ii) Total outstanding dues of
creditors other than micro
enterprises and small
enterprises",416.97,59.36,15.34,0.01,-,491.68
"(iii) Disputed dues of micro
enterprises and small
enterprises",-,-,-,-,-,-
"(iv) Disputed dues of creditors other
than micro enterprises and
small enterprises",-,-,-,-,-,-
Total,437.58,59.43,15.34,0.01,-,512.36
Add : Accrued expenses,,,,,,152.52
Total,,,,,,664.88
