"Defined benefit obligation at the beginning of the
period/year",79.76,61.36,49.00,41.29
Current service cost,12.55,9.92,8.65,6.25
Interest cost,4.56,4.27,3.47,2.83
Past service cost *,7.85,-,-,-
Benefits paid,(5.59),(2.75),(3.96),(3.86)
"Actuarial loss arising from change in financial
assumption",8.36,9.20,1.57,(0.91)
"Actuarial loss arising from change in demographic
assumption",3.93,(2.49),-,-
"Actuarial loss arising from change in experience
assumption",(0.74),0.25,2.63,3.40
"Defined benefit obligation at the end of the
period/year",110.68,79.76,61.36,49.00
Funds managed by insurer (LIC),100%,100%,100%,100%
Actuarial loss for the current period - obligation,11.55,6.96,4.20,2.49
"Actuarial gain/(loss) for the current period - plan
assets",0.05,(0.02),(0.13),(0.18)
Total actuarial loss for the current period / year,11.50,6.98,4.33,2.67
