Range of exercise price :,Options outstanding at the end of the period
Upto INR 1,"1,500"
INR 10 to INR 50,"90,000"
INR 51 to INR 100,"75,000"
INR 101 to INR 200,"1,26,000"
INR 201 to INR 300,"2,10,000"
INR 301 to INR 500,"69,000"
Outstanding at the end of the period,"5,71,500"
Range of exercise price :,Options outstanding at the end of the period
INR 10,5
"INR 66,000 to INR 1,00,000",352
"INR 1,00,001 to INR 5,00,000",621
"INR 5,00,001 to INR 6,00,000",34
Outstanding at the end of the period,"1,012"
Range of exercise price :,Options outstanding at the end of the period
INR 10,4
"INR 66,000 to INR 1,00,000",288
"INR 1,00,001 to INR 5,00,000",603
"INR 5,00,001 to INR 6,00,000",34
Outstanding at the end of the period,929
Range of exercise price :,Options outstanding at the end of the period
INR 10,9
"INR 66,000 to INR 1,00,000",458
"INR 1,00,001 to INR 5,00,000",667
"INR 5,00,001 to INR 6,00,000",38
Outstanding at the end of the period,"1,172"
Range of exercise price :,Options outstanding at the end of the period
INR 10,31
"INR 66,000 to INR 1,00,000",532
"INR 1,00,001 to INR 5,00,000",685
Outstanding at the end of the period,"1,248"
Range of exercise price :,Options outstanding at the end of the period
INR 400 to INR 500,"2,44,500"
Outstanding at the end of the period,"2,44,500"
