Particulars,As at December,"As at March 31,",,,,,,
,"31, 2025",,,,,,,
,,,2025,,,2024,2023,
,"(in ₹ million, except as indicated otherwise)",,,,,,,
Total equity (A),"4,104.80","3,033.81",,,"1,241.22",,"1,150.25",
Non-current liabilities – Financial liabilities - Borrowings (B),241.84,256.88,,,423.53,,349.77,
Current liabilities – Financial liabilities – Borrowings (C),227.08,239.30,,,"1,082.65",,746.30,
Non-current Liabilities – Financial liabilities - Lease liabilities (D),172.92,81.83,,,139.94,,194.35,
Current liabilities – Financial liabilities – Lease liabilities (E),68.26,65.52,,,54.42,,47.14,
Total Debt(1) (F=B+C+D+E),710.10,643.53,,,1700.54,,"1,337.56",
Debt – Equity Ratio(2)(F/A),0.17,0.21,,,1.37,,1.16,
