"Shadowfax Technologies Limited (formerly known as Shadowfax Technologies Private Limited)
Annexure VI - Notes to Restated Consolidated Financial Information (Contd..)
(Rs. in million, except share and per share data, unless otherwise stated)
3b. Other Intangible assets",,,,,,,
Particulars,Computer software,"Internally generated
intangible assets*","Customer
Relationship
(refer note 40)","Business IP
(refer note 40)","Brands
(refer note 40)",Total,"Goodwill
(refer note 40)"
"Gross carrying value
Balance as at 1 April 2022
Additions
Disposals
Balance as at 31 March 2023
Additions
Disposals
Balance as at 31 March 2024
On account of acquisition of subsidiary (refer note 40)
Additions
Disposals
Balance as at 31 March 2025
Balance as at 1 April 2024
Additions
Disposals
Balance as at 30 September 2024
Balance as at 1 April 2025
Additions
Disposals
Balance as at 30 September 2025
Accumulated amortisation
Balance as at 1 April 2022
Charge for the year (refer note 28)
Disposals for the year
Balance as at 31 March 2023
Charge for the year (refer note 28)
Disposals for the year
Balance as at 31 March 2024
On account of acquisition of subsidiary (refer note 40)
Charge for the year (refer note 28)
Disposals for the year
Balance as at 31 March 2025
Balance as at 1 April 2024
Charge for the period (refer note 28)
Disposals for the period
Balance as at 30 September 2024
Balance as at 1 April 2025
Charge for the period (refer note 28)
Disposals for the period
Balance as at 30 September 2025
Net carrying value","0.93
2.16
-","237.06
59.02
-","-
-
-","-
-
-","-
-
-","237.99
61.18
-","-
-
-"
,3.09,296.08,-,-,-,299.17,-
,"0.49
-","1 21.33
-","-
-","-
-","-
-","121.82
-","-
-"
,3.58,417.41,-,-,-,420.99,-
,"0.88
1.18
-","-
2 27.00
-","105.95
-","39.91
-","26.60
-","173.34
228.18
-","400.58
-
-"
,5.64,644.41,105.95,39.91,26.60,650.05,400.58
,"3.58
-
-","417.41
119.93
-","-
-
-","-
-
-","-
-
-","420.99
119.93
-","-
-
-"
,3.58,537.34,-,-,-,540.92,-
,"5.64
-
-","644.41
1 22.05
-","105.95
-
-","39.91
-
-","26.60
-
-","822.51
122.05
-","400.58
-
-"
,5.64,766.46,105.95,39.91,26.60,944.56,400.58
,"0.85
0.07
-","134.98
39.64
-","-
-
-","-
-
-","-
-
-","135.83
39.71
-","-
-
-"
,0.92,174.62,-,-,-,175.54,-
,"0.72
-","5 0.84
-","-
-","-
-","-
-","51.56
-","-
-"
,1.64,225.46,-,-,-,227.10,-
,"0.26
1.43
-","-
7 4.92
-","-
3.66
-","-
1.38
-","-
0.91
-","0.26
82.30
-","-
-"
,3.33,300.38,3.66,1.38,0.91,309.66,-
,"1.64
0.44
-","225.46
32.41
-","-
-
-","-
-
-","-
-
-","227.10
32.85
-","-
-
-"
,2.08,257.87,-,-,-,259.95,-
,"3.33
0.40
-","300.38
6 2.10
-","3.66
10.59
-","1.38
3.99
-","0.91
2.66
-","309.66
79.74
-","-
-
-"
,3.73,362.48,14.25,5.37,3.57,389.40,-
Balance as at 31 March 2023,2.17,1 21.46,-,-,-,123.63,-
Balance as at 31 March 2024,1.94,1 91.95,-,-,-,193.89,-
Balance as at 31 March 2025,2.31,3 44.03,1 02.29,3 8.53,25.69,512.85,400.58
Balance as at 30 September 2024,1.50,2 79.47,-,-,-,280.97,-
Balance as at 30 September 2025,1.91,4 03.98,9 1.70,3 4.54,23.03,555.16,400.58
"*The Internally generated intangible assets relates to application developed by the Company which is used in tracking rider order delivery, payout etc.",,,,,,,
