Particulars,As at and for the,,,,
,Six months,Six months,"Year ended
March 31, 2025","Year ended
March 31, 2024",
,period ended,period ended 30,,,Year ended
,"September 30,",September 2024,,,March 2023
,2025,,,,
Basic earnings per share (in ₹),0.41,0.21,0.13,(0.28),(3.38)
Diluted earnings per share (in ₹),0.40,0.20,0.13,(0.28),(3.38)
Profit /(Loss) for the period/year (A),210.37,98.36,64.26,(118.82),"(1,426.38)"
Equity share capital (I),"1,517.89",2.40,"1,517.89",2.40,2.31
Instruments entirely equity in nature (II),"2,604.83","2,490.70","2,604.83","2,490.70",48.80
Other equity (III),"2,812.59","1,968.37","2,481.55","1,724.66","1,712.04"
Net Worth (I + II + III) (B),"6,935.31","4,461.47","6,604.27",",217.76","1,763.15"
Return on Net Worth (%) (A/B),3.03%,2.20%,0.97%,(2.82) %,(80.90)%
Net Asset Value per Equity Share (in ₹),13.46,"9,43",13.83,9.90,4.17
EBITDA (excluding other income),643.37,232.80,561.86,113.72,"(1,134.69)"
