"Shadowfax Technologies Limited (formerly known as Shadowfax Technologies Private Limited)
Annexure VI - Notes to Restated Consolidated Financial Information
(Rs. in million, except share and per share data, unless otherwise stated)
3. Property, plant and equipment",,,,,,,
Particulars,"Leasehold
improvements",Computers,"Electronic
equipments","Furniture and
fixtures","Office
equipments","Motor
vehicles",Total
,26.98,257.70,316.88,250.88,69.69,5.39,927.52
,"-
-","79.74
-","238.49
-","89.95
-","1.14
-","-
-","409.32
-"
,26.98,337.44,555.37,340.83,70.83,5.39,"1,336.84"
,"3.14
-
-","10.27
91.49
-","4.45
270.87
-","6.03
99.15
-","12.73
0.02
-","-
6.32
2.15","36.62
467.85
2.15"
,30.12,439.20,830.69,446.01,83.58,9.56,"1,839.16"
,"26.98
-
-","337.44
20.60
-","555.37
68.98
-","340.83
25.31
-","70.83
0.01
-","5.39
4.75
2.16","1,336.84
119.65
2.16"
,26.98,358.04,624.35,366.14,70.84,7.98,"1,454.33"
,"30.12
46.36
-","439.20
26.95
-","830.69
304.55
-","446.01
116.54
-","83.58
1.71
-","9.56
-
-","1,839.16
496.11
-"
,76.48,466.15,"1,135.24",562.55,85.29,9.56,"2,335.27"
,"26.98
-
-","50.33
64.08
1.68","16.24
32.88
0.25","13.03
19.52
0.45","36.48
11.42
0.01","2.02
0.78
-","145.08
128.68
2.39"
,26.98,112.73,48.87,32.10,47.89,2.80,271.37
,"-
-","82.48
-","52.32
-","26.31
-","9.95
-","0.68
-","171.74
-"
,26.98,195.21,101.19,58.41,57.84,3.48,443.11
,"3.14
-
-","2.09
96.66
-","1.63
75.52
-","2.51
34.50
-","5.79
7.65
-","-
0.92
1.19","15.16
215.25
1.19"
,30.12,293.96,178.34,95.42,71.28,3.21,672.33
,"26.98
-
-","195.21
45.92
-","101.19
34.49
-","58.41
16.08
-","57.84
4.17
-","3.48
0.40
1.19","443.11
101.06
1.19"
,26.98,241.13,135.68,74.49,62.01,2.69,542.98
,"30.12
1.72
-","293.96
47.04
-","178.34
55.98
-","95.42
24.19
-","71.28
3.06
-","3.21
0.59
-","672.33
132.58
-"
,31.84,341.00,234.32,119.61,74.34,3.80,804.91
Balance as at 31 March 2023,-,144.97,268.01,218.78,21.80,2.59,656.15
Balance as at 31 March 2024,-,142.23,454.18,282.42,12.99,1.91,893.73
Balance as at 31 March 2025,-,145.24,652.35,350.59,12.30,6.35,"1,166.83"
Balance as at 30 September 2024,-,116.91,488.67,291.65,8.83,5.29,911.35
Balance as at 30 September 2025,44.64,125.15,900.92,442.94,10.95,5.76,"1,530.36"
"TheCompanyhasfirstpari-passuchargeonallmovableproperty,plantandequipmentinfavorofICICIBankLimitedandTrifectaVentureDebtfortheCreditfacilities
availed by the Company (Refer note 16 and note 19).",,,,,,,
"Shadowfax Technologies Limited (formerly known as Shadowfax Technologies Private Limited)
Annexure VI - Notes to Restated Consolidated Financial Information (Contd..)
(Rs. in million, except share and per share data, unless otherwise stated)
3b. Other Intangible assets",,,,,,,
Particulars,Computer software,"Internally generated
intangible assets*","Customer
Relationship
(refer note 40)","Business IP
(refer note 40)","Brands
(refer note 40)",Total,"Goodwill
(refer note 40)"
,3.09,296.08,-,-,-,299.17,-
,"0.49
-","1 21.33
-","-
-","-
-","-
-","121.82
-","-
-"
,3.58,417.41,-,-,-,420.99,-
,"0.88
1.18
-","-
2 27.00
-","105.95
-","39.91
-","26.60
-","173.34
228.18
-","400.58
-
-"
,5.64,644.41,105.95,39.91,26.60,650.05,400.58
,"3.58
-
-","417.41
119.93
-","-
-
-","-
-
-","-
-
-","420.99
119.93
-","-
-
-"
,3.58,537.34,-,-,-,540.92,-
,"5.64
-
-","644.41
1 22.05
-","105.95
-
-","39.91
-
-","26.60
-
-","822.51
122.05
-","400.58
-
-"
,5.64,766.46,105.95,39.91,26.60,944.56,400.58
,"0.85
0.07
-","134.98
39.64
-","-
-
-","-
-
-","-
-
-","135.83
39.71
-","-
-
-"
,0.92,174.62,-,-,-,175.54,-
,"0.72
-","5 0.84
-","-
-","-
-","-
-","51.56
-","-
-"
,1.64,225.46,-,-,-,227.10,-
,"0.26
1.43
-","-
7 4.92
-","-
3.66
-","-
1.38
-","-
0.91
-","0.26
82.30
-","-
-"
,3.33,300.38,3.66,1.38,0.91,309.66,-
,"1.64
0.44
-","225.46
32.41
-","-
-
-","-
-
-","-
-
-","227.10
32.85
-","-
-
-"
,2.08,257.87,-,-,-,259.95,-
,"3.33
0.40
-","300.38
6 2.10
-","3.66
10.59
-","1.38
3.99
-","0.91
2.66
-","309.66
79.74
-","-
-
-"
,3.73,362.48,14.25,5.37,3.57,389.40,-
Balance as at 31 March 2023,2.17,1 21.46,-,-,-,123.63,-
Balance as at 31 March 2024,1.94,1 91.95,-,-,-,193.89,-
Balance as at 31 March 2025,2.31,3 44.03,1 02.29,3 8.53,25.69,512.85,400.58
Balance as at 30 September 2024,1.50,2 79.47,-,-,-,280.97,-
Balance as at 30 September 2025,1.91,4 03.98,9 1.70,3 4.54,23.03,555.16,400.58
"*The Internally generated intangible assets relates to application developed by the Company which is used in tracking rider order delivery, payout etc.",,,,,,,
