,,,Outstanding for following periods from due date of payment,,,,,
,Unbilled,Not due,"Less than
6 months","6 months -
1 year",1-2 years,2-3 years,"More than 3
years",Total
(i) Undisputed Trade receivables – considered good,"2,090.37",966.06,569.14,8 4.11,2 2.32,0 .96,1 .37,"3,734.33"
"(ii) Undisputed Trade receivables – which have significant
increase in credit risk",-,-,-,-,-,-,-,-
(iii) Undisputed Trade receivables – credit impaired,-,-,-,-,41.69,45.95,68.70,156.34
Total,"2,090.37",966.06,569.14,8 4.11,6 4.01,4 6.91,7 0.07,"3,890.67"
Less: loss allowance for doubtful debts,,,,,,,,( 156.34)
Net Trade receivables,,,,,,,,"3,734.33"
,,,Outstanding for following periods from due date of payment,,,,,
,Unbilled,Not due,"Less than
6 months","6 months -
1 year",1-2 years,2-3 years,"More than 3
years",Total
(i) Undisputed Trade receivables – considered good,"1,193.29",657.24,478.14,2 6.81,-,-,-,"2,355.48"
"(ii) Undisputed Trade receivables – which have significant
increase in credit risk",-,-,-,-,-,-,-,-
(iii) Undisputed Trade receivables – credit impaired,-,-,-,-,33.84,14.45,55.38,103.67
Total,"1,193.29",657.24,478.14,2 6.81,3 3.84,1 4.45,5 5.38,"2,459.15"
Less: loss allowance for doubtful debts,,,,,,,,( 103.67)
Net Trade receivables,,,,,,,,"2,355.48"
,,,Outstanding for following periods from due date of payment,,,,,
,Unbilled,Not due,"Less than
6 months","6 months -
1 year",1-2 years,2-3 years,"More than 3
years",Total
(i) Undisputed Trade receivables – considered good,"1,272.09","1,219.36",711.31,7 3.76,1 0.39,0 .43,3 .29,"3,290.63"
"(ii) Undisputed Trade receivables – which have significant
increase in credit risk",-,-,-,-,-,-,-,-
(iii) Undisputed Trade receivables – credit impaired,-,-,-,-,49.04,36.00,41.32,126.36
Total,"1,272.09","1,219.36",711.31,7 3.76,5 9.43,3 6.43,4 4.61,"3,416.99"
Less: loss allowance for doubtful debts,,,,,,,,( 126.36)
Net Trade receivables,,,,,,,,"3,290.63"
,,,Outstanding for following periods from due date of payment,,,,,
,Unbilled,Not due,"Less than
6 months","6 months -
1 year",1-2 years,2-3 years,"More than 3
years",Total
(i) Undisputed Trade receivables – considered good,811.24,373.48,636.59,1 1.72,3 .36,-,-,"1,836.38"
"(ii) Undisputed Trade receivables – which have significant
increase in credit risk",-,-,-,-,-,-,-,-
(iii) Undisputed Trade receivables – credit impaired,-,-,-,-,8.35,36.00,41.32,8 5.67
Total,811.24,373.48,636.59,1 1.72,1 1.71,3 6.00,4 1.32,"1,922.05"
Less: loss allowance for doubtful debts,,,,,,,,( 85.67)
Net Trade receivables,,,,,,,,"1,836.38"
,,,Outstanding for following periods from due date of payment,,,,,
,Unbilled,Not due,"Less than
6 months","6 months -
1 year",1-2 years,2-3 years,"More than 3
years",Total
(i) Undisputed Trade receivables – considered good,637.25,650.45,276.63,5 .23,0 .68,-,-,"1,570.24"
"(ii) Undisputed Trade receivables – which have significant
increase in credit risk",-,-,-,-,-,-,-,-
(iii) Undisputed Trade receivables – credit impaired,-,-,-,-,36.00,41.32,-,7 7.32
Total,637.25,650.45,276.63,5 .23,3 6.68,4 1.32,-,"1,647.56"
Less: loss allowance for doubtful debts,,,,,,,,( 77.32)
Net Trade receivables,,,,,,,,"1,570.24"
