,,,six months,,,months period,,ended,,,,,
,,,period ended,,,ended,,March,,,,,
,,,"September 30,",,,"September 30,",,"31,2025",,,,,
,,,2025,,,2024,,,,,,,
Total equity (I),,,"6,935.31",,,"4,461.47",,"6,604.27",,,"4,217.76",,"1,763.15"
Borrowings (non-current) (A),,,1.19,,,-,,2.76,,,57.45,,257.58
Borrowings (current) (B),,,3.84,,,186.24,,61.83,,,257.58,,349.71
Lease liabilities (non-current) (C),,,946.07,,,662.71,,812.44,,,53.78,,15.73
Lease liabilities (current) (D),,,523.29,,,165.63,,445.29,,,34.47,,43.92
"Total Borrowings and Lease liabilities
(II) (A+B+C+D)",,"1,474.39","1,474.39",,"1,014.58","1,014.58",,"1,322.32",,403.28,403.28,,666.94
Debt to Equity Ratio (%) (II / I),,,21.26%,,,22.74%,,20.02%,,,9.56%,,37.83%
