,,,,,,,,,,months,,,,,,,,,,
,,,,,,,,,,period,,,,,,,,,,
,,,,,,,,,,ended,,,,,,,,,,
,,,,,,,,,,Septembe,,,,,,,,,,
,,,,,,,,,,"r 30, 2025",,,,,,,,,,
,,,,Revenue:,,,,,,,,,,,,,,,,
,I,,,Revenue from Operations,,,23,,,"13,208.48",,,"25,504.47",,,"23,159.12",,,21310.25,
,II,,,Other Income,,,24,,,18.24,,,127.58,,,13.29,,,47.69,
,III,,,Total Income (I + II),,,,,,"13,226.72",,,"25,632.04",,,"23,172.41",,,"21,357.93",
,IV,,,Expenses:,,,,,,,,,,,,,,,,
,a),,,Cost of material consumed,,,25,,,"12,903.96",,,"28,112.13",,,"20,125.20",,,"18,025.77",
b),b),,,Changes in inventories of finished,,26,,,"-1,822.16","-1,822.16",,"-5,538.41","-5,538.41",,355.69,355.69,,937.48,937.48,
,,,,"goods, work-in-progress and stock-in-",,,,,,,,,,,,,,,,
,,,,trade,,,,,,,,,,,,,,,,
,c),,,Employee Benefits Expense,,,27,,,230.29,,,446.27,,,423.88,,,412.27,
,e),,,Finance Costs,,,28,,,353.12,,,682.92,,,454.55,,,394.49,
d),d),,,Depreciation And Amortization,,29,,,361.80,361.80,,598.67,598.67,,629.34,629.34,,883.87,883.87,
,,,,Expenses,,,,,,,,,,,,,,,,
,f ),,,Other Expenses,,,30,,,210.76,,,392.89,,,221.21,,,213.56,
,,,,Total Expenses (IV),,,,,,"12,237.77",,,"24,694.48",,,"22,209.87",,,"20,867.43",
V,,,,Profit/(loss) before exceptional items,,,,,988.95,988.95,,937.57,937.57,,962.54,962.54,,490.50,490.50,
,,,,and tax (III - IV),,,,,,,,,,,,,,,,
,VI,,,Exceptional Items,,,,,,-,,-,,,,-,,,-,
,VII,,,Profit/ (loss) before tax (V+VI),,,,,,988.95,,,937.57,,,962.54,,,490.50,
,VII,,Tax Expense,,,,,,,,,,,,,,,,,
,I,,,,,,,,,,,,,,,,,,,
,,,,Current Tax,,,,,,228.93,,,247.36,,,278.78,,,167.54,
,,,,MAT Credit Entitlement,,,,,,-,,,-,,,-,,,-,
,,,,Deferred Tax,,,,,,60,,,(109.39),,,28.51,,,117.89,
,,,,,,,,,,288.93,,,137.97,,,307.29,,,285.43,
,IX,,,Profit/(loss) for the period (VII-VIII),,,,,,700.02,,,799.59,,,655.25,,,205.08,
,X,,,Other Comprehensive Income,,,31,,,,,,,,,,,,,
i.,i.,,,Items that will not be reclassified to,,,,,,,,,,,,,,,,
,,,,Statement of Profit and Loss,,,,,,,,,,,,,,,,
ii.,,,,Income tax relating to items that will not,,,,,,,,,,,,,,,,
,,,,be reclassified to Statement of Profit,,,,,,,,,,,,,,,,
,,,,and Loss,,,,,,,,,,,,,,,,
iii.,,,,Items that will be reclassified to,,,,,-,,,-,,,-,,,-,,
,,,,Statement of Profit and Loss,,,,,,,,,,,,,,,,
iv.,,,,Income tax relating to items that will be,,,,,-,,,-,,,-,,,-,,
,,,,reclassified to Statement of Profit and,,,,,,,,,,,,,,,,
,,,,Loss,,,,,,,,,,,,,,,,
,,,,Other Comprehensive Income for,,,,,2.42,,,2.76,,,1.09,,,0.66,,
,,,,the year (X),,,,,,,,,,,,,,,,
XI,,,,Total Comprehensive Income for,,,,,702.44,,,802.35,,,656.34,,,205.74,,
,,,,the year (IX + X),,,,,,,,,,,,,,,,
,XI I,,,Earnings per Equity Share,,,32,,,,,,,,,,,,,
,,,,(i) Basic (in Rs.),,,,,,2.38,,,2.72,,,2.23,,,0.70,
,,,,(ii) Diluted (in Rs.),,,,,,2.38,,,2.72,,,2.23,,,0.70,
