Particulars,,"Six months period ended September 30,",,,,,"Six months period ended September 30,
2024",,
,,2025,,,,,,,
,"Revenue
(in ₹ million)",Revenue,,Percentage of,,"Revenue
(in ₹ million)",Revenue,,"Percentage of
Revenue from
Operations (%)"
,,(in ₹ million),,Revenue from,,,(in ₹ million),,
,,,,Operations (%),,,,,
Raw Coal,,,,,,,,,
Coking Coal,"43,687.32",,77.20%,,,"50,748.55",,74.13%,
Non Coking Coal,"1,201.41",,2.12%,,,"1,759.83",,2.57%,
Washed Coal,,,,,,,,,
Washed Coking Coal,"7,611.55",,13.45%,,,"11,256.28",,16.44%,
Washed Power Coal,"4,089.92",,7.23%,,,"4,697.24",,6.86%,
Total,"56,590.20",,100.00%,,,"68,461.90",,100.00%,
