Particulars,,Fiscal 2025,,,,,Fiscal 2024,,,,,Fiscal 2023,,
,"Revenue
(in ₹ million)",Revenue,,Percentage,,"Revenue
(in ₹ million)",Revenue,,Percentage,,"Revenue
(in ₹ million)",Revenue,,"Percentage
of Revenue
from
Operations
(%)"
,,(in ₹ million),,of Revenue,,,(in ₹ million),,of Revenue,,,(in ₹ million),,
,,,,from,,,,,from,,,,,
,,,,Operations,,,,,Operations,,,,,
,,,,(%),,,,,(%),,,,,
Raw Coal,,,,,,,,,,,,,,
"Coking
Coal","104,525.78",,75.72%,,,"107,910.18",,75.75%,,,"94,420.22",,74.79%,
"Non
Coking
Coal","3,321.21",,2.41%,,,"3,743.20",,2.63%,,,"5,264.23",,4.17%,
Washed Coal,,,,,,,,,,,,,,
"Washed
Coking
Coal","20,520.84",,14.87%,,,"21,383.97",,15.01%,,,"17,354.84",,13.75%,
"Washed
Power Coal","9,657.67",,7.00%,,,"9,421.25",,6.61%,,,"9,201.31",,7.29%,
Total,"138,025.50",,100.00%,,,"142,458.60",,100.00%,,,"126,240.60",,100.00%,
