Particulars,As at/ for the,As at/ for the,As at/ for the,"As at/ for the year
ended March 31,
2024",As at/ for the year
,six months,six months,year ended,,"ended March 31,"
,period ended,period ended,"March 31,",,2023
,"September 30,","September 30,",2025,,
,2025,2024,,,
Number of executive,"1,811","1,890","1,810","1,894","2,001"
employees,,,,,
Attrition rate of our,0.61%,0.58%,1.44%,2.43%,0.55%
executive employees,,,,,
Number of non-executive,"29,578","31,155","30,308","32,026","35,036"
personnel,,,,,
Attrition rate of our non-,0.02%,0.02%,0.03%,0.07%,0.03%
executive personnel,,,,,
