,,,,Disciplinary actions,,
,,,Number of,by the SEBI or stock,,
,,,,,,Aggregate
Category of,Number of,Number of,actions taken,exchanges against,Number of,
,,,,,,amount
individuals/,Criminal,Tax,by statutory,our Corporate,material civil,
,,,,,,involved*
entities,proceedings,proceedings,or regulatory,Promoter in the last,litigations,
,,,,,,(in ₹ million)
,,,authority,five years including,,
,,,,outstanding action,,
Company,,,,,,
By our,8,(Not,(Not,(Not Applicable),3,"7,031.00"
Company,,Applicable),Applicable),,,
Against our,25,265,7,,6,"31,999.66"
Company,,,,,,
Directors,,,,,,
By our,Nil,(Not,(Not,(Not Applicable),Nil,Nil
Directors,,Applicable),Applicable),,,
Against our,2,1,Nil,,Nil,0.01
Directors,,,,,,
Corporate Promoter,,,,,,
By our,1,(Not,(Not,(Not Applicable),1,"312,278.00"
Corporate,,Applicable),Applicable),,,
Promoter,,,,,,
Against our,2,14,5,46,Nil,"20,188.94"
Corporate,,,,,,
Promoter,,,,,,
Key Managerial Personnel,,,,,,
By our,Nil,(Not,(Not,(Not Applicable),(Not,Nil
KMPs,,Applicable),Applicable),,Applicable),
Against our,1,,Nil,,,Nil
KMPs,,,,,,
Senior Management,,,,,,
By our SMPs,Nil,(Not,(Not,(Not Applicable),(Not,Nil
,,Applicable),Applicable),,Applicable),
Against our,7,,Nil,,,Nil
SMPs,,,,,,
