page,table_index,rows,cols,csv_file,csv_path
35,0,10,9,page_0035_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0035_table_00.csv
35,1,6,7,page_0035_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0035_table_01.csv
35,3,6,8,page_0035_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0035_table_03.csv
36,0,4,4,page_0036_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0036_table_00.csv
39,0,7,21,page_0039_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0039_table_00.csv
39,1,18,11,page_0039_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0039_table_01.csv
40,0,34,11,page_0040_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0040_table_00.csv
41,0,9,14,page_0041_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0041_table_00.csv
41,1,12,10,page_0041_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0041_table_01.csv
41,2,13,15,page_0041_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0041_table_02.csv
42,0,24,4,page_0042_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0042_table_00.csv
43,0,11,11,page_0043_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0043_table_00.csv
43,1,12,16,page_0043_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0043_table_01.csv
44,0,6,11,page_0044_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0044_table_00.csv
44,1,6,16,page_0044_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0044_table_01.csv
44,2,6,11,page_0044_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0044_table_02.csv
45,0,6,16,page_0045_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0045_table_00.csv
45,1,7,10,page_0045_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0045_table_01.csv
47,0,10,11,page_0047_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0047_table_00.csv
48,0,10,19,page_0048_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0048_table_00.csv
49,0,9,10,page_0049_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0049_table_00.csv
51,0,13,6,page_0051_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0051_table_00.csv
52,0,5,11,page_0052_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0052_table_00.csv
52,1,5,19,page_0052_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0052_table_01.csv
53,0,20,7,page_0053_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0053_table_00.csv
54,0,23,5,page_0054_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0054_table_00.csv
55,0,5,11,page_0055_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0055_table_00.csv
55,1,5,19,page_0055_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\amirchand jagdish kumar\dumped_tables\page_0055_table_01.csv
