,,period ended,,,period ended,,,,
,,September,,,September,,,,
,,"30, 2025",,,"30, 2024",,,,
"Revenue from operations (in ₹
million)","56,590.20",,,"68,461.90",,,"138,025.50","142,458.60","126,240.60"
Net worth* (in ₹ million),"58,308.90",,,"60,597.40",,,"65,512.30","53,554.70","37,910.10"
,,period ended,,,period ended,,,,
,,"September 30,",,,"September 30,",,,,
,,2025,,,2024,,,,
"Working capital (in
₹ million)",108.50,,,"11,520.50",,,"13,514.90","12,558.30","(2,603.40)^"
"Working capital
turnover ratio(1)",7.72,,,5.29,,,10.04,26.44,(75.86)^
"Trade receivables
days(2)",60,,,28,,,40,25,36
,,period ended,,,period ended,,,,
,,September,,,September,,,,
,,"30, 2025",,,"30, 2024",,,,
"Power and fuel expenses
(in ₹ million)","4,583.00",,,"4,940.30",,,"9,390.40","11,124.90","13,459.20"
"Power and fuel expenses
as a percentage of
revenue from operations
(%)",8.10%,,,7.22%,,,6.80%,7.81%,10.66%
