Particulars,Period,,,,,,
,,"October 1,",,"April 1, 2025 to
September 30,
2025","Financial year
ended March
31, 2025","Financial year
ended March
31, 2024","Financial year
ended March
31, 2023"
,,2025 to until,,,,,
,,the date of this,,,,,
,,Red Herring,,,,,
,,Prospectus,,,,,
Number of equity shares,"10,88,25,400",,,"10,88,25,400","2,72,06,350","2,72,06,350","3,34,06,350"
Face value per equity share (In ₹),5,,,5,5,5,5
Interim dividend per share (In ₹),2.75,,,Nil,Nil,Nil,Nil
Final dividend per share (In ₹),Nil,,,Nil,Nil,Nil,Nil
Total amount of dividend (In ₹ crore),29.93,,,Nil,Nil,Nil,Nil
Dividend per share (in ₹),2.75,,,Nil,Nil,Nil,Nil
Dividend Rate (in %),55.00%,,,Nil,Nil,Nil,Nil
Mode of payment of dividend,NA*,,,NA,NA,NA,NA
Dividend Tax (%),NA,,,NA,NA,NA,NA
