"Powerica Limited
CIN: U31100MH1984PLC032825
Restated Consolidated Statement of Cash Flows
(All amounts in Indian Rupees crores, except share data and where otherwise stated)
Note: 1) The above Restated Consolidated Statement of Cash Flows has been prepared under the ‘Indirect Method’ as set out in Ind AS 7, ‘Statement of Cash Flows’.
2) Reconciliation of liabilities arising from financial activities:
Particulars As on Cash Flows Non- Cash Changes As on 30.09.2025
01.04.2025
Interest Expense Foreign Exchange Fair Value Changes
Movement",,,,,,,
Particulars,"As on
01.04.2025",Cash Flows,Non- Cash Changes,,,As on 30.09.2025,
,,,Interest Expense,"Foreign Exchange
Movement",Fair Value Changes,,
"Non-Current Financial Liabilities
Borrowings
Secured - Loan from Banks
Current Financial Liabilities
Borrowings
Secured - Loan from Banks
Current Financial Liabilities
Interert Accrual (Paid)","2 35.77
6 5.03
1 .13","2 70.32
0 .83
(12.08)","-
-
-","-
-
-","-
-
-","506.09
65.86
0.73",
Total Liabilities from Financial Activities,3 01.93,2 59.07,-,-,-,572.68,
Particulars,"As on
01.04.2024",Cash Flows,Non- Cash Changes,,,As on 31.03.2025,
,,,Interest Expense,"Foreign Exchange
Movement",Fair Value Changes,,
"Non-Current Financial Liabilities
Borrowings
Secured - Loan from Banks
Unsecured - Loan from Related Party
Current Financial Liabilities
Borrowings
Secured - Loan from Banks
Current Financial Liabilities
Interert Accrual (Paid)","1 25.69
9 .93
4 1.90
5 .90","1 10.08
(9.93)
2 3.13
(36.04)","-
-
-
-","-
-
-
-","-
-
-
-","235.77
-
65.03
1.13",
Total Liabilities from Financial Activities,1 83.42,8 7.24,-,-,-,301.93,
"Particulars As on Cash Flows Non- Cash Changes As on 31.03.2024
01.04.2023
Interest Expense Foreign Exchange Fair Value Changes
Movement",,,,,,,
Particulars,"As on
01.04.2023",Cash Flows,Non- Cash Changes,,,As on 31.03.2024,
,,,Interest Expense,"Foreign Exchange
Movement",Fair Value Changes,,
"Non-Current Financial Liabilities
Borrowings
Secured - Loan from Banks
Unsecured - Loan from Related Party
(31.03.2023 - Grouped under Non-Current
Other Financial Liabilities)
Current Financial Liabilities
Borrowings
Secured - Loan from Banks
Unsecured - Loan from Banks
Unsecured - Loan from Related Party
Current Financial Liabilities
Interert Accrual (Paid)","5 5.60
9 .93
1 52.33
6 9.85
1 .10
1 3.46","7 0.09
-
(110.43)
(69.85)
(1.10)
(47.85)","-
-
-
-
-
-","-
-
-
-
-
-","-
-
-
-
-
-","125.69
9.93
41.90
-
-
5 .90",
Total Liabilities from Financial Activities,3 02.27,(159.14),-,-,-,183.42,
"Particulars As on Cash Flows Non- Cash Changes As on 31.03.2023
01.04.2022 Interest Expense Foreign Exchange Fair Value Changes
Movement",,,,,,,
Particulars,"As on
01.04.2022",Cash Flows,Non- Cash Changes,,,As on 31.03.2023,
,,,Interest Expense,"Foreign Exchange
Movement",Fair Value Changes,,
"Non-Current Financial Liabilities
Borrowings
Secured - Loan from Banks
Current Financial Liabilities
Borrowings
Secured - Loan from Banks
Unsecured - Loan from Banks
Unsecured - Loan from Related Party
Current Financial Liabilities
Interert Accrual (Paid)","2 58.87
5 7.60
6 9.85
-
1 5.16","(203.27)
9 4.72
-
1 .10
(57.35)","-
-
-
-
-","-
-
-
-
-","-
-
-
-
-","55.60
152.33
69.85
1.10
13.46",
Total Liabilities from Financial Activities,401.48,(164.80),-,-,-,292.34,
The accompanying material accounting policies and notes form an integral part of the Restated Consolidated Financial Information.,,,,,,,
In terms of our report attached of even date,,,,,,,
For Kapoor & Parekh Associates For and on Behalf of the Board of Directors of Powerica Limited,,,,,,,
Chartered Accountants,,,,,,,
Firm Registration No. 104803W,,,,,,,
"Nilesh Parekh Bharat Oberoi
Partner Chairman & Managing Director
Membership No. 033528 DIN: 00083664",,,,"Jai Ram Oberoi
Whole-time Director
DIN: 10361810",,,
,Ritesh Kumar Agrawal Anita Renuse,,,,,,
,"Group Chief Financial Officer Company Secretary &
Compliance Officer",,,,,,
,,ACS 25102,,,,,
"Mumbai, December 23, 2025 322",,,,,,,
