Particulars,Reserves & Surplus,,,,,,Other Items of other Comprehensive income,,,Total Equity
,"Capital
Reserve","Securities
Premium","Capital
Redemption
Reserve","General
Reserve","Amalgamation
Adjustment
Deficit Account","Retained
Earnings","Effective Portion
of Cash Flow
Hedges","Foreign
Currency
Translation
Reserve","Remeasurement of
the net defined
benefit plans",
As at 01.04.2022,"0 .16
-
-
-","1 .94
-
-","1 .80
-
-
-","2.85
-
-
-",(78.86),745.08,0 .64,"-
-
-
0.21",0 .43,"674.04
106.45"
,,,,,"-
-",106.45,"-
-",,"-
-",
,,,,,,(1.37),,,,(1.37)
Movement in Comprehensive Income for the year,,-,,,-,-,( 0.22),,( 0.60),(0.60)
Total Comprehen,"0 .16
-","1 .94
-",1 .80,2.85,(78.86),8 50.16,0 .42,0 .21,( 0.16),778.52
,,,-,-,-,-,( 0.64),-,-,(0.64)
,"0 .16
-
-
-
-
-","1 .94
-
-
-
-
-",1 .80,2.85,(78.86),8 50.16,( 0.22),0 .21,( 0.16),777.88
,,,3.10,(2.85),-,(85.19),-,-,-,(84.94)
,,,"-
-
-
-","-
-
-
-","-
-
-
-",(20.39),"-
-
-","-
-
-","-
-
-",(20.39)
,,,,,,226.28,,,,226.28
"Gain due to Changes in ownership interest in
subsidiary without loss of control",,,,,,0 .04,,,,0.04
"Movement in Other Comprehensive Income for the
year",,,,,,-,0 .31,0 .12,( 0.85),(0.42)
Total Comprehen,"0 .16
-","1 .94
-","4 .90
-","-
-",(78.86),"9 70.90
-",0 .09,0 .33,( 1.01),898.45
,,,,,-,,0.22,-,-,0.22
,"0 .16
-
-
-
-","1 .94
-
-
-
-","4 .90
9 .93
-
-
-","-
-
-
-
-",(78.86),970.90,0 .31,0 .33,( 1.01),898.67
,,,,,"-
-
-
-",( 9.93),"-
-
-","-
-
-","-
-
-",-
,,,,,,"166.82
6 .29
-",,,,166.82
,,,,,,,,,,6.29
,,,,,,,0 .14,0 .17,( 0.83),(0.52)
,"0 .16
-","1 .94
-","1 4.83
-","-
-",(78.86),"1 ,134.08
-",0 .45,"0 .50
-",( 1.84),"1,071.26"
,,,,,-,,( 0.31),,-,(0.31)
,"0 .16
-
-
-
-",1 .94,1 4.83,"-
-
-
-
-",(78.86),"1,134.08",0 .14,0 .50,( 1.84),"1,070.95"
,,( 7.27),( 14.83),,"-
-",(18.71),-,"-
-
-
1 .20",-,(40.81)
,,"-
5 .33
-","-
-
-",,,128.93,"-
-",,-,128.93
,,,,,-,( 5.33),,,-,-
,,,,,-,-,( 0.48),,( 0.66),0.06
,"0 .16
-","-
-","-
-","-
-",(78.86),"1,238.97",( 0.34),1 .70,( 2.50),"1,159.13"
,,,,,-,-,( 0.14),-,-,(0.14)
,0 .16,-,-,-,(78.86),"1 ,238.97",( 0.48),1 .70,( 2.50),"1,158.99"
