Name of the Company,"Country of
Incorporation",% voting power held,,,
,,"As at
30.09.2025","As at
31.03.2025","As at
31.03.2024","As at
31.03.2023"
Paramount Windfarms Pvt. Ltd,India,51%,51%,100%,100%
"Vartaman Wind Energy Private
Limited.",India,100%,100%,100%,100%
"Powerica Renewable Infra Private
Limited",India,65%,65%,65%,100%
Windstride Power Private Limited,India,100%,100%,Nil,Nil
Powerica Power Systems (FZE),"United Arab
Emirates",100%,100%,100%,100%
Associate,,,,,
"Airpower Windfarm Private Limited
(Refer Note 54)",India,Nil,Nil,Nil,50 %
"Platino Automotive Private Limited
(w.e.f. 18.04.2024) (Refer Note 54)",India,50%,50%,Nil,Nil
