"Powerica Limited
CIN: U31100MH1984PLC032825
Notes to the Restated Consolidated Financial Infomation
(All amounts in Indian Rupees crores, except share data and where otherwise stated)",,,,,,,,,,
,Investments:,,,,,,,,,
Particulars,,,,,,As at 30.09.2025,As at 31.03.2025,As at 31.03.2024,As at 31.03.2023,
"a. Investments measured at Cost
In Equity Shares of Associate Company, Unquoted",,,,,,"-
35.72","-
29.03",,,
In Equity S,"hares of Associate Company, Unquoted",,,,,,,,,
"Nil (31.03.2025 - Nil, 31.03.2024 - Nil, 31.03.2023 - 2,75,00,000) Equity Shares of Rs. 10 each of Airpower
Windfarms Private Limited (Refer Note 54)",,,,,,,,-,10.95,
"10,000 (31.03.2025 - 10,000, 31.03.2024 - Nil, 31.03.2023 - Nil) Equity Shares of Rs. 10 each of Platino Automotive
Private Limited (Refer Note 54)",,,,,,,,-,-,
,measured at Fair Value Through Profit or Loss (FV,,,,,,,,,
,,,,,,-,-,5 .84,5 .45,
"ii. In Preference Shares, Unquoted
iii. In Bonds/Debentures, Quoted",,,,,,"20.30
12.91","-
9 .86","-
20.33","-
50.53",
,,"t Trust, Unquoted",,,,,,,,
iv. In Real Estate Investmen,,,,,,1 .12,1 .53,1 .82,2 .60,
"v. In Alternative Investment Fund, Unquoted",,,,,,4 .00,-,-,-,
,,"ook Value
arket Value
Book Value",,,,74.05,40.42,27.99,69.53,
,,,,,,"12.91
12.91
61.14","9 .86
9 .86
30.56",,,
"9.1) Quoted Investments - B
- M
9.2) Unquoted Investments -",,,,,,,,"26.17
26.17
1 .82","55.98
55.98
13.55",
"9.3)Outoftheabove,QuotedMutualFundswithacarryingamountofNil(31.03.2025-Nil,31.03.2024-Rs.5.84
crores, 31.03.2023 - Rs. 5.45 crores) and Bonds/Debentures with a carrying amount of Nil (31.03.2025 - Nil, 31.03.2024 -
Nil, 31.03.2023 - Rs. 20.13 crores) have been pledged as security for working capital facilities and borrowings.",,,,,,,,,,
10. Non-Current Trade Rece,,,,,,,,,,
Particulars,,,,,,As at 30.09.2025,As at 31.03.2025,As at 31.03.2024,As at 31.03.2023,
"Unsecured
- Considered Good",,,,,,-,2 .34,,,
,,,,,,,,9 .36,16.38,
,,,,,,-,2.34,9.36,16.38,
10.1) Ageing for trade receiv,,,,,,,,,,
Particulars,,,Outstanding for following periods from transaction date,,,,,,Total,
,,,Unbilled,Less than 6 months,"6 months -
1 year",1-2 years,2-3 years,"More than 3
years",,
Undisputed trade receivables considered good,,,-,-,-,-,0.57,1.77,2.34,
"Total (A)
Allowance for Doubtful Debts (B)
Total (A-B)",,,,,,,,,2.34,
,,,,,,,,,-,
,,,,,,,,,2.34,
"10.2) Ageing for trade receivables from the transaction date for each of the category as at March 31, 2024",,,,,,,,,,
Particulars,,,Outstanding for following periods from transaction date,,,,,,Total,
,,,Unbilled,Less than 6 months,"6 months -
1 year",1-2 years,2-3 years,"More than 3
years",,
Undisputed trade receivables considered good,,,-,-,-,0.57,8.79,-,9.36,
"Total (A)
Allowance for Doubtful Debts (B)
Total (A-B)",,,,,,,,,9.36,
,,,,,,,,,-,
,,,,,,,,,9.36,
