* Include,,,,,,,,
16.1) Ageing fo,,,,,,,,
Particulars,,Outstanding for following periods from transaction date,,,,,,Total
,,Unbilled,Less than 6 months,"6 months -
1 year",1-2 years,2-3 years,"More than 3
years",
"Undisputed trade receivables considered good 15.70 229.44 21.94 21.78 21.34 34.83
Undisputed trade receivables which have significant increase in
credit risk - - - - - -
Undisputed trade receivables - credit impaired - - - - - -
Disputed trade receivables considered good - - - - - -
Disputed trade receivables which have significant increase in
credit risk - - - - - 0.21
Disputed trade receivables - credit impaired - - - - - -
Total (A)
Allowance for Doubtful Debts (B)
Total (A-B)",,15.70,229.44,21.94,21.78,21.34,34.83,345.03
,,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-
,,-,-,-,-,-,0.21,0 .21
,,-,-,-,-,-,-,-
,,,,,,,,345.24
,,,,,,,,(2.87)
,,,,,,,,342.37
16.2) Ageing fo,,,,,,,,
Particulars,,Outstanding for following periods from transaction date,,,,,,Total
,,Unbilled,Less than 6 months,"6 months -
1 year",1-2 years,2-3 years,"More than 3
years",
"Undisputed trade receivables considered good 13.44 294.45 18.31 22.28 36.75 16.69
Undisputed trade receivables which have significant increase in
credit risk - - - - - -
Undisputed trade receivables - credit impaired - - - - - -
Disputed trade receivables considered good - - - - - -
Disputed trade receivables which have significant increase in
credit risk - - - - - 0.21
Disputed trade receivables - credit impaired - - - - - -
Total (A)
Allowance for Doubtful Debts (B)
Total (A-B)",,13.44,294.45,18.31,22.28,36.75,16.69,401.92
,,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-
,,-,-,-,-,-,0.21,0 .21
,,-,-,-,-,-,-,-
,,,,,,,,402.13
,,,,,,,,(2.87)
,,,,,,,,399.26
16.3) Ageing fo,,,,,,,,
Particulars,,Outstanding for following periods from transaction date,,,,,,Total
,,Unbilled,Less than 6 months,"6 months -
1 year",1-2 years,2-3 years,"More than 3
years",
"Undisputed trade receivables considered good 15.99 226.43 14.89 43.99 17.43 2.09
Undisputed trade receivables which have significant increase in
credit risk - - - - - -
Undisputed trade receivables - credit impaired - - - - - -
Disputed trade receivables considered good - - - - - -
Disputed trade receivables which have significant increase in
credit risk - - - - - 0.64
Disputed trade receivables - credit impaired - - - - - -
Total (A)
Allowance for Doubtful Debts (B)
Total (A-B)",,15.99,226.43,14.89,43.99,17.43,2.09,320.82
,,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-
,,-,-,-,-,-,0.64,0 .64
,,-,-,-,-,-,-,-
,,,,,,,,321.46
,,,,,,,,(2.97)
,,,,,,,,318.49
16.4) Ageing fo,,,,,,,,
Particulars,,Outstanding for following periods from transaction date,,,,,,Total
,,Unbilled,Less than 6 months,"6 months -
1 year",1-2 years,2-3 years,"More than 3
years",
"Undisputed trade receivables considered good 13.14 193.09 30.42 17.90 7.35 2.93
Undisputed trade receivables which have significant increase in
credit risk - - - - - -
Undisputed trade receivables - credit impaired - - - - - -
Disputed trade receivables considered good - - - - - -
Disputed trade receivables which have significant increase in
credit risk - - - 0.05 - 0.86
Disputed trade receivables - credit impaired - - - - - -
Total (A)
Allowance for Doubtful Debts (B)
Total (A-B)",,13.14,193.09,30.42,17.90,7.35,2.93,264.83
,,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-
,,-,-,-,0.05,-,0.86,0 .91
,,-,-,-,-,-,-,-
,,,,,,,,265.74
,,,,,,,,(3.46)
,,,,,,,,262.28
