"Powerica Limited
CIN: U31100MH1984PLC032825
Notes to the Restated Consolidated Financial Infomation
(All amounts in Indian Rupees crores, except share data and where otherwise stated)",,,,,,,,,
"iii) Amount recognised in the Balance Sheet
Present value of the funded obligations as at 19.78 0.13 17.84 0.07 14.99 0.01 12.74
period/year end
Fair value of the plan assets as at period/year end 22.13 - 1 7.59 - 1 4.30 - 1 2.11
Net (asset) / liability recognised as at period/year ( 2.35) 0.13 0.25 0.07 0 .69 0.01 0.63
end
iv) Expenses recognised in the Restated
Consolidated Statement of Profit and Loss
Current service cost 0.67 0.07 1 .17 0 .09 1 .01 - 0 .89
Past service cost and loss/(gain) on curtailments - - - - - - -
Net Interest cost ( 0.01) Rs. 23,974 0 .01 Rs. 3,969 0 .01 - ( 0.05)
Total 0 .66 0 .07 1 .18 0 .09 1 .02 - 0 .83
Expenses recognised in the Statement of Other
Comprehensive Income
Net actuarial loss / (gain) recognised in the
- changes in financial assumptions 0.09 Rs. 16,679 0 .71 Rs. 33,071 0 .34 - ( 0.37)
- changes in demographic assumptions - - - - - - -
- experience adjustments 1.00 ( 0.01) 0 .66 ( 0.03) 0 .90 - 1 .18
Return on plan assets excluding amounts included ( 0.05) - ( 0.07) - 0 .07 - 0 .11
in Interest Income
Total 1 .03 ( 0.01) 1 .30 ( 0.03) 1 .31 - 0 .92
v) Asset information
Others – Policy of Insurance 100.00% - 100.00% - 100.00% - 100.00%
vi) Principal actuarial assumptions used
Discount rate (p.a.) 6.70% 6.95% 6.75% 6.85% 7.20% 7.20% 7.45%
Salary growth rate (p.a.) 5.00% 10.00% 5.00% 10.00% 5.00% 10.00% 5.00%
ii) Sensitivity Analysis
Significantactuarialassumptionsforthedeterminationofthedefinedbenefitobligationarediscountrateandexpectedsalaryincrease.Reasonable,
possiblechangesatthereportingdatetooneoftherelevantactuarialassumptions,holdingotherassumptionsconstant,wouldhaveaffectedthe
defined benefit obligations by the amounts shown below:",,,,,,,,,
,iii) Amount recognised in the Balance Sheet,,,,,,,,
,"Present value of the funded obligations as at
period/year end",,19.78,0.13,17.84,0.07,14.99,0.01,12.74
,Fair value of the plan assets as at period/year end,,22.13,-,1 7.59,-,1 4.30,-,1 2.11
,"Net (asset) / liability recognised as at period/year
end",,( 2.35),0.13,0.25,0.07,0 .69,0.01,0.63
,"iv) Expenses recognised in the Restated
Consolidated Statement of Profit and Loss",,,,,,,,
,Current service cost,,0.67,0.07,1 .17,0 .09,1 .01,-,0 .89
,Past service cost and loss/(gain) on curtailments,,-,-,-,-,-,-,-
,Net Interest cost,,( 0.01),"Rs. 23,974",0 .01,"Rs. 3,969",0 .01,-,( 0.05)
,Total,,0 .66,0 .07,1 .18,0 .09,1 .02,-,0 .83
,"Expenses recognised in the Statement of Other
Comprehensive Income",,,,,,,,
,Net actuarial loss / (gain) recognised in the,,,,,,,,
,- changes in financial assumptions,,0.09,"Rs. 16,679",0 .71,"Rs. 33,071",0 .34,-,( 0.37)
,- changes in demographic assumptions,,-,-,-,-,-,-,-
,- experience adjustments,,1.00,( 0.01),0 .66,( 0.03),0 .90,-,1 .18
,"Return on plan assets excluding amounts included
in Interest Income",,( 0.05),-,( 0.07),-,0 .07,-,0 .11
,Total,,1 .03,( 0.01),1 .30,( 0.03),1 .31,-,0 .92
,v) Asset information,,,,,,,,
,Others – Policy of Insurance,,100.00%,-,100.00%,-,100.00%,-,100.00%
,vi) Principal actuarial assumptions used,,,,,,,,
,Discount rate (p.a.),,6.70%,6.95%,6.75%,6.85%,7.20%,7.20%,7.45%
,Salary growth rate (p.a.),,5.00%,10.00%,5.00%,10.00%,5.00%,10.00%,5.00%
,,30.09.2025,,31.03.2025,,31.03.2024,,31.03.2023,
"Increase Decrease Increase Decrease Increase Decrease Increase Decrease
Discount rate (0.5%) movement (0.84) 0.90 (0.78) 0.84 (0.67) 0.72 (0.58) 0.62
Salary growth rate (0.5%) movement 0.61 (0.62) 0.60 (0.60) 0.55 (0.54) 0.48 (0.48)
Thesensitivityanalysispresentedabovemaynotberepresentativeoftheactualchangeinthedefinedbenefitobligationasitisunlikelythatthe
changeinassumptionswouldoccurinisolationofoneanotherassomeoftheassumptionsmaybecorrelated.Furthermore,inpresentingtheabove
sensitivityanalysis,thepresentvalueofthedefinedbenefitobligationhasbeencalculatedusingtheprojectedunitcreditmethodattheendofthe
reporting period, which is the same as that applied in calculating the defined benefit obligation liability recognised in the Financial Statements.
iii) Expected future benefit payments
Particulars 30.09.2025 31.03.2025 31.03.2024 31.03.2023
1 Year 1.00 0.96 0.79 0.50
2 to 5 Years 6.60 5.57 4.31 3.23
6 to 10 Years 9.14 8.74 7.53 6.62
(c ) Leave Encashment:
Group’semployeesareentitledforcompensatedabsenceswhichareallowedtobeaccumulatedandencashedasperCompany’srule.Theliabilityof
compensated absences, which is non-funded, has been provided based on report of independent actuary using “Projected Unit Credit Method”.
AccordinglyforRs.6.58Crores(31.03.2025Rs.5.56Crores,31.03.2024Rs.4.88Crores,31.03.2023Rs.4.61Crores)beingliabilityasattheperiod/year-
end for compensated absences as per actuarial valuation has been provided in the accounts.
Annual Leave Assumptions
i) Financial Assumptions",,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
,Discount rate (0.5%) movement,(0.84),0.90,(0.78),0.84,(0.67),0.72,(0.58),0.62
,Salary growth rate (0.5%) movement,0.61,(0.62),0.60,(0.60),0.55,(0.54),0.48,(0.48)
