"Sr.
No",,Generator Sets,,,,Wind Power,,,,Total,,,
A,Revenue,30.09.2025,31.03.2025,31.03.2024,31.03.2023,30.09.2025,31.03.2025,31.03.2024,31.03.2023,30.09.2025,31.03.2025,31.03.2024,31.03.2023
,External Sales,"1,165.16","2,255.19","1,907.20","1,968.87",282.28,398.08,3 02.80,4 09.39,"1 ,447.44","2 ,653.27","2 ,210.00","2 ,378.26"
,Inter Segment Sales,0.28,-,-,2.93,1.05,-,-,-,1 .32,-,-,2 .93
,Segment Revenue,"1,165.44","2,255.19","1,907.20","1,971.80",283.33,398.08,3 02.80,4 09.39,"1 ,448.77","2 ,653.27","2 ,210.00","2 ,381.19"
,Less: Inter Segment Eliminations,,,,,,,,,1 .32,-,-,2 .93
,Total Revenue,,,,,,,,,"1 ,447.44","2 ,653.27","2 ,210.00","2 ,378.26"
B,Segment Results (PBT),112.61,193.85,236.31,211.44,49.17,36.16,7 7.95,1 0.07,1 61.78,2 30.01,3 14.26,2 21.51
C,"Specified Amounts included in
Segment Results",,,,,,,,,,,,
,Depreciation & Amortisation,9.01,14.72,12.61,10.68,44.92,101.74,1 15.37,1 24.82,5 3.93,1 16.46,1 27.98,1 35.51
,Interest Income,0.91,0.81,0.66,4.21,0.50,1.72,0 .61,1 .41,1 .41,2 .53,1 .27,5 .61
,Interest Expense,0.65,1.02,2.25,3.89,11.72,31.18,3 6.56,3 7.39,1 2.37,3 2.20,3 8.81,4 1.28
D,"Reconciliation of Segment Result with
Profit After Tax",,,,,,,,,,,,
,Segment Results,112.61,193.85,236.31,211.44,49.17,36.16,7 7.95,1 0.07,1 61.78,2 30.01,3 14.26,2 21.51
,Interest Income,,,,,,,,,4 .35,1 4.85,8 .49,6 .96
,"Net gain arising on financial assets
measured at FVTPL",,,,,,,,,0 .33,1 0.27,3 4.96,( 4.90)
,"Gain on sale of financial assets measured
at FVTPL",,,,,,,,,1 4.62,5 .71,1 0.18,1 2.26
,Dividend received,,,,,,,,,2 .59,0 .00,0 .00,0 .01
,"Unallocated Corporate Income
(Expenses)- Net",,,,,,,,,( 8.80),( 15.21),( 27.16),( 35.80)
,Income Taxes,,,,,,,,,4 7.00,7 8.83,1 14.60,7 9.40
,Share of Profit (Loss) of Associate,,,,,,,,,6 .68,9 .03,( 0.02),( 14.19)
,"Profit After Tax as per Restated
Consolidated Statement of Profit and
Loss",,,,,,,,,1 34.55,1 75.83,2 26.11,1 06.45
