"Powerica Limited
CIN: U31100MH1984PLC032825
Notes to the Restated Consolidated Financial Infomation",,,,,
(All,"amounts in Indian Rupees crores, except share data and where otherwise stated)",,,,
"OnaccountofadoptionofINDAS109,theGroupusesECLmodeltoassesstheimpairmentlossorgain.TheGroupusesaprovisionmatrixto
compute the ECL allowance for trade receivables.
Expected Credit Loss for Trade receivables under simplified approach
30.09.2025 31.03.2025 31.03.2024 31.03.2023
Gross Carrying Amount 345.24 404.47 330.82 2 82.12
Average Expected loss on Trade Receivables (2.87) (2.87) (2.97) ( 3.46)
Carrying amount of trade receivables (net of impairment) 342.37 401.60 327.85 2 78.66
b) Financial instruments
Creditriskarisingfrominvestmentinmutualfunds,bonds,debentures,preferenceshares,derivativefinancialinstrumentsandotherbalances
withbanksislimitedandthereisnocollateralheldagainstthesebecausethecounterpartiesarebanksandrecognisedfinancialinstitutions
with high credit ratings assigned by the national and international credit rating agencies.
ii) Liquidity risk
Liquidity risk is the risk that Group may not be able to meet its present and future cash and collateral obligations without incurring
unacceptablelosses.Group'sobjectiveisto,atalltimesmaintainoptimumlevelsofliquiditytomeetitscashandcollateralrequirements.
Group closely monitors itsliquidity positionand deploys a robustcashmanagementsystem.Itmaintains adequatesourcesoffinancing
including overdraft from banks at an optimised cost.
Groupaimstomaintainthelevelofitscashandcashequivalentsandotherhighlymarketabledebtinvestmentsatanamountrequiredtomeet
expected cash outflows on financial liabilities over foreseeable future.
The table below analysis derivative and non-derivative financial liabilities of the Group into relevant maturity groupings based on the
remainingperiodfromthereportingdatetothecontractualmaturitydate.Theamountsdisclosedinthetablearethecontractualundiscounted
cash flows.
Payable within More than 1
Carrying amount Total
1 year years
As at 30.09.2025
Non-derivative liabilities
Non-Current Borrowings 506.09 - 506.09 5 06.09
Non-Current Lease Liabilities 12.56 - 12.56 1 2.56
Current Borrowings 65.86 65.86 - 6 5.86
Current Lease Liabilities 1.36 1.36 - 1.36
Trade Payables 387.49 3 87.49 - 3 87.49
Other Current Financial Liabilities 77.80 77.80 - 7 7.80
Derivative liabilities
Forward Exchange Contracts 0.73 0.73 - 0.73
As at 31.03.2025
Non-derivative liabilities
Non-Current Borrowings 235.77 - 235.77 2 35.77
Non-Current Lease Liabilities 9.73 - 9.73 9.73
Current Borrowings 65.03 65.03 - 6 5.03
Current Lease Liabilities 1.35 1.35 - 1.35
Trade Payables 263.58 2 63.58 - 2 63.58
Other Current Financial Liabilities 296.40 2 96.40 - 2 96.40
As at 31.03.2024
Non-derivative liabilities
Non-Current Borrowings 135.62 - 135.62 1 35.62
Non-Current Lease Liabilities 4.34 - 4.34 4.34
Other Non-Current Financial Liabilities 1.00 - 1.00 1.00
Current Borrowings 41.90 41.90 - 4 1.90
Current Lease Liabilities 0.39 0.39 - 0.39
Trade Payables 305.17 3 05.17 - 3 05.17
Other Current Financial Liabilities 296.41 2 96.41 - 2 96.41
As at 31.03.2023
Non-derivative liabilities
Non-Current Borrowings 55.60 - 55.60 5 5.60",,,,,
,,Carrying amount,"Payable within
1 year","More than 1
years",Total
,As at 30.09.2025,,,,
,Non-derivative liabilities,,,,
,Non-Current Borrowings,506.09,-,506.09,5 06.09
,Non-Current Lease Liabilities,12.56,-,12.56,1 2.56
,Current Borrowings,65.86,65.86,-,6 5.86
,Current Lease Liabilities,1.36,1.36,-,1.36
,Trade Payables,387.49,3 87.49,-,3 87.49
,Other Current Financial Liabilities,77.80,77.80,-,7 7.80
,Derivative liabilities,,,,
,Forward Exchange Contracts,0.73,0.73,-,0.73
,As at 31.03.2025,,,,
,Non-derivative liabilities,,,,
,Non-Current Borrowings,235.77,-,235.77,2 35.77
,Non-Current Lease Liabilities,9.73,-,9.73,9.73
,Current Borrowings,65.03,65.03,-,6 5.03
,Current Lease Liabilities,1.35,1.35,-,1.35
,Trade Payables,263.58,2 63.58,-,2 63.58
,Other Current Financial Liabilities,296.40,2 96.40,-,2 96.40
,As at 31.03.2024,,,,
,Non-derivative liabilities,,,,
,Non-Current Borrowings,135.62,-,135.62,1 35.62
,Non-Current Lease Liabilities,4.34,-,4.34,4.34
,Other Non-Current Financial Liabilities,1.00,-,1.00,1.00
,Current Borrowings,41.90,41.90,-,4 1.90
,Current Lease Liabilities,0.39,0.39,-,0.39
,Trade Payables,305.17,3 05.17,-,3 05.17
,Other Current Financial Liabilities,296.41,2 96.41,-,2 96.41
,As at 31.03.2023,,,,
,Non-derivative liabilities,,,,
,Non-Current Borrowings,55.60,-,55.60,5 5.60
,Other Non-Current Financial Liabilities,10.93,-,10.93,1 0.93
"Current Borrowings 223.28 2 23.28 - 2 23.28
Trade Payables 235.47 2 35.47 - 2 35.47
Other Current Financial Liabilities 494.06 4 94.06 - 4 94.06
Derivative Liabilities
Forward Exchange Contracts 0.33 - 0.33 0.33",Current Borrowings,223.28,2 23.28,-,2 23.28
,Trade Payables,235.47,2 35.47,-,2 35.47
,Other Current Financial Liabilities,494.06,4 94.06,-,4 94.06
,Derivative Liabilities,,,,
,Forward Exchange Contracts,0.33,-,0.33,0.33
