"Powerica Limited
CIN: U31100MH1984PLC032825
Notes to the Restated Consolidated Financial Infomation",,,,,,,
(All,"amounts in Indian Rupees crores, except share data and where otherwise stated)",,,,,,
"f)Powerica Power Systems (FZE)*:
Transactions 30.09.2025 31.03.2025 31.03.2024 31.03.2023",,,,,,,
,Transactions,,,30.09.2025,31.03.2025,31.03.2024,31.03.2023
,Purchases:,,,,,,
,Powerica Limited,,,4 .94,1 6.12,1 6.50,1 3.77
,Issue of Equity Shares:,,,,,,
,Powerica Limited,,,-,-,-,0 .34
,Outstanding as at the period/year-end:,,,,,,
,Payables,,,,,,
"Powerica Limited 2 .49 6 .05 3 .72 -
*The transactions are recorded at the exchange rate prevailing on the date the Holding Company entered into the transactions.
g) Details of outstanding guarantee given on behalf of subsidiaries:
Name of Company Guarantee In favour of As at September As at March 31, As at March As at March 31,
30, 2025 2025 31, 2024 2023
Powerica Renewable Corporate Standard Chartered Bank 100.00 1 00.00 5 0.00 -
Infra Private Limited Guarantee",Powerica Limited,,,2 .49,6 .05,3 .72,-
,Name of Company,Guarantee,In favour of,"As at September
30, 2025","As at March 31,
2025","As at March
31, 2024","As at March 31,
2023"
,"Powerica Renewable
Infra Private Limited","Corporate
Guarantee",Standard Chartered Bank,100.00,1 00.00,5 0.00,-
,"Powerica Power
Systems (FZE)","Corporate
Guarantee",Standard Chartered Bank,22.20,2 1.37,2 0.85,-
"Terms and Conditions of transactions with related parties
Grouphascompletedanindependentevaluationforalltransactions,fortheperiodended30.09.2025 andfortheyearsended31.03.2025,
31.03.2024and31.03.2023todeterminewhetherthetransactionswithassociateenterprisesareundertakenatarm’slengthpricebasedonthe
internalpricingreviewandvalidation,Groupbelievesthatalltransactionwithassociatedenterprisesareintheordinarycourseofthebusiness
and on arm’s length basis.
Fortheperiodended30.09.2025andfortheyearsended31.03.2025,31.03.2024and31.03.2023theGrouphasnotrecordedanyimpairmentof
receivablesrelatingtoamountsowedbyrelatedparties.Thisassessmentisundertakeneachfinancialyearthroughexaminingthefinancial
position of the related party and the market in which the related party operates.
Outstanding balances at the period/year-end are unsecured and settlement occurs in cash.
53Income Taxes:
a) Tax Expense Recognised in Restated Consolidated Profit and Loss:
30.09.2025 31.03.2025 31.03.2024 31.03.2023
Current Tax Expense for the period/year 51.90 9 2.93 76.17 3 2.76
MAT Credit Entitlement - - - (32.54)
Deferred tax expense/(benefit), net
Origination and reversal of timing difference (4.99) ( 14.10) 3 8.43 5 7.32
46.91 7 8.83 1 14.60 5 7.54
Short (Excess) provision of current tax 0 .09 - - -
MAT Credit Entitlement of prior years - - - 2 1.86
Tax Expense for the period/year 47.00 7 8.83 1 14.60 7 9.40
b) Tax Expense Recognised in Other Comprehensive Income:
30.09.2025 31.03.2025 31.03.2024 31.03.2023
Items that will be reclassified to restated consolidated profit or loss
in subsequent years:
The effective portion of gains and loss on hedging instruments in a 0.33 0.10 (0.28) 0.46
cash flow hedge
Items that will not be reclassified to restated consolidated profit or
loss in subsequent years:
Re-measurement gains (losses) on defined benefits plans 0.36 0.44 0.46 0.32
Total 0 .69 0 .54 0 .18 0 .78
c) Reconciliation of effective tax rate:
30.09.2025 31.03.2025 31.03.2024 31.03.2023
Restated Profit Before Tax 174.87 2 45.63 340.73 2 00.04
Domestic Tax Rate 34.944% 34.944% 34.944% 34.944%
Tax using the Company’s domestic tax rate 61.11 8 5.83 1 19.06 6 9.90
Tax Effect Of:
Expenses not deductible 0 .81 3 .95 1 .41 0 .70
Exemption of Profit Linked Incentive (1.61) ( 0.34) ( 4.63) ( 8.00)
- ( 2.71) ( 5.39) 0 .02
Current Year losses for which no deferred tax assets were recognised
Income of Subsidiaries chargeable at different tax rates (13.88) ( 2.28) - -
Income not taxable ( 0.19) ( 0.26) ( 0.20) ( 4.53)
Others 0 .67 ( 5.36) 4 .35 ( 0.55)
Current and Deferred Tax Expense as per note 53(a) 46.91 7 8.83 114.60 5 7.54",,,,,,,
,,,,30.09.2025,31.03.2025,31.03.2024,31.03.2023
,Restated Profit Before Tax,,,174.87,2 45.63,340.73,2 00.04
,Domestic Tax Rate,,,34.944%,34.944%,34.944%,34.944%
,Tax using the Company’s domestic tax rate,,,61.11,8 5.83,1 19.06,6 9.90
,Tax Effect Of:,,,,,,
,Expenses not deductible,,,0 .81,3 .95,1 .41,0 .70
,Exemption of Profit Linked Incentive,,,(1.61),( 0.34),( 4.63),( 8.00)
,Current Year losses for which no deferred tax assets were recognised,,,-,( 2.71),( 5.39),0 .02
,Income of Subsidiaries chargeable at different tax rates,,,(13.88),( 2.28),-,-
,Income not taxable,,,( 0.19),( 0.26),( 0.20),( 4.53)
,Others,,,0 .67,( 5.36),4 .35,( 0.55)
,Current and Deferred Tax Expense as per note 53(a),,,46.91,7 8.83,114.60,5 7.54
