Particulars,"Net assets, i.e. total assets
minus total liabilities",,Share of Profit,,"Share of Other
Comprehensive Income",,"Share of Total Comprehensive
Income",
,"As % of
consolidated
net assets","Rs. in
crore","As % of
consolidated net
profit","Rs. in
crore","As % of
consolidated
other
comprehensive
income",Rs. in crore,"As % of total
comprehensive
income",Rs. in crore
Parent,,,,,,,,
Powerica Limited,89.89,"1,102.53",60.50,7 8.00,100.51,(1.15),60.13,76.85
Indian Subsidiaries,,,,,,,,
"Paramount Windfarms
Private Limited",0 .05,0.59,(0.08),(0.10),-,-,(0.08),(0.10)
"Vartaman Wind Energy
Private Limited",(0.04),(0.49),(0.06),(0.08),-,-,(0.06),(0.08)
"Powerica Renewable Infra
Private Limited",2 .98,36.57,12.58,16.21,( 0.79),0.01,12.70,16.22
"Windstride Power Private
Limited",0 .02,0.22,(0.01),(0.01),-,-,(0.01),(0.01)
Foreign Subsidiary,,,,,,,,
"Powerica Power Systems
(FZE)",3 .94,48.34,28.78,37.11,-,-,29.04,37.11
Associate,,,,,,,,
"Platino Automotive Private
Limited",2 .91,35.72,5.18,6.68,-,-,5.23,6.68
"Non-Controlling Interest in
Subsidiary",,,,,,,,
"Paramount Windfarms
Private Limited",0 .02,0.29,0.04,0.05,-,-,0.04,0.05
"Powerica Renewable Infra
Private Limited",1 .04,12.80,(4.40),(5.68),0.28,(0.003),(4.44),(5.68)
"Total Eliminations/
Consolidation Adjustments",(0.81),(10.08),(2.51),(3.25),-,-,(2.55),(3.25)
Total,1 00.00,"1,226.49",100.00,128.93,100.00,(1.14),100.00,127.79
