Category of Borrowing,Sanctioned Amount as on,Outstanding amount as on
,"February 28, 2026","February 28, 2026 (in ₹"
,(in ₹ crores),crores)
A. Company,,
Term Loans (i) (1),,
Rupee Term Loan,970.00,563.68
Non Fund Based,,129.91
Working Capital Loans(2),,
Fund-based(2),596.10,Nil
Non fund-based(2),,450.26
Total (A),"1,566.10","1,143.85"
B. Subsidiaries,,
Vehicle Loan,1.85,1.08
Working Capital Loans (3),,
Fund-based (3),122.74,Nil
Non fund-based (3),,67.32
Loans from shareholders,34.23,2.00
Total (B),158.82,70.40
Total (A+B),"1,724.92","1,214.25"
