page,table_index,rows,cols,csv_file,csv_path
317,0,9,4,page_0317_table_00.csv,E:\AIML-Projects\IPO RHP Analyzer\outputs\processed_ipos\tryy_ipo_POWERICA LIMITED\dumped_tables\page_0317_table_00.csv
317,1,11,2,page_0317_table_01.csv,E:\AIML-Projects\IPO RHP Analyzer\outputs\processed_ipos\tryy_ipo_POWERICA LIMITED\dumped_tables\page_0317_table_01.csv
318,0,15,8,page_0318_table_00.csv,E:\AIML-Projects\IPO RHP Analyzer\outputs\processed_ipos\tryy_ipo_POWERICA LIMITED\dumped_tables\page_0318_table_00.csv
321,0,4,5,page_0321_table_00.csv,E:\AIML-Projects\IPO RHP Analyzer\outputs\processed_ipos\tryy_ipo_POWERICA LIMITED\dumped_tables\page_0321_table_00.csv
323,0,9,4,page_0323_table_00.csv,E:\AIML-Projects\IPO RHP Analyzer\outputs\processed_ipos\tryy_ipo_POWERICA LIMITED\dumped_tables\page_0323_table_00.csv
324,0,20,7,page_0324_table_00.csv,E:\AIML-Projects\IPO RHP Analyzer\outputs\processed_ipos\tryy_ipo_POWERICA LIMITED\dumped_tables\page_0324_table_00.csv
325,1,25,6,page_0325_table_01.csv,E:\AIML-Projects\IPO RHP Analyzer\outputs\processed_ipos\tryy_ipo_POWERICA LIMITED\dumped_tables\page_0325_table_01.csv
326,0,18,7,page_0326_table_00.csv,E:\AIML-Projects\IPO RHP Analyzer\outputs\processed_ipos\tryy_ipo_POWERICA LIMITED\dumped_tables\page_0326_table_00.csv
327,0,29,8,page_0327_table_00.csv,E:\AIML-Projects\IPO RHP Analyzer\outputs\processed_ipos\tryy_ipo_POWERICA LIMITED\dumped_tables\page_0327_table_00.csv
328,0,2,6,page_0328_table_00.csv,E:\AIML-Projects\IPO RHP Analyzer\outputs\processed_ipos\tryy_ipo_POWERICA LIMITED\dumped_tables\page_0328_table_00.csv
328,1,2,6,page_0328_table_01.csv,E:\AIML-Projects\IPO RHP Analyzer\outputs\processed_ipos\tryy_ipo_POWERICA LIMITED\dumped_tables\page_0328_table_01.csv
