"Income
Revenue from Operations
Other Income
Total Income
Expenses:
Cost of Raw Materials Consumed
Purchase of Stock-In-Trade
Changes in Inventories of Finished Goods, Work-in-Progress
and Stock-in-Trade
Employee Benefit Expense
Finance Cost
Depreciation & Amortization Expense
Other Expenses
Total Expenses
Restated Profit Before Share of Profit (Loss) of Associate
Share of Profit (Loss) of Associate (net of tax)
Restated Profit Before Tax
Tax Expense
Current Tax
Deferred Tax Charge (Credit)
MAT Credit Entitlement
MAT Credit Entitlement of Earlier Years
Restated Profit After Tax
Share of Profit (Loss) after tax attributable to Non-Controlling Interest
Restated Profit after tax attributable to Owners of the Company
Other Comprehensive Income
Other Comprehensive Income to be reclassified to profit or loss in
subsequent years:
The effective portion of gain & losses on hedging instruments in a
cash flow hedge
Income Tax Effect on above","33
34
35
36
37
38
39
53","1,447.44
27.43","2,653.27
57.66","2,210.00
146.77","2,378.26
44.16"
,,"1,474.87","2,710.93","2,356.77","2,422.42"
,,"892.84
59.72
( 53.19)
66.96
12.37
53.93
267.37","1,787.69
12.50
14.00
114.28
32.20
116.46
388.17","1,419.18
25.78
( 7.22)
113.46
40.53
127.98
296.33","1,267.34
307.86
( 6.92)
94.84
56.01
135.51
367.74"
,,"1,300.00","2,465.30","2,016.04","2,222.38"
,,174.87,245.63,340.73,200.04
,,6 .68,9 .03,( 0.02),(14.19)
,,181.55,254.66,340.71,185.85
,,51.99,92.93,"76.17
38.43","32.76
57.32"
,53,( 4.99),( 14.10),,
,42,-,-,-,(32.54)
,,-,-,-,21.86
,,"134.55
5.62","175.83
9.01","226.11
( 0.17)","106.45
-"
,,128.93,166.82,226.28,106.45
,,( 0.73),0 .22,0 .47,(0.33)
"cash flow he
Income Tax",,0 .25,( 0.08),( 0.16),0.12
"Net other Comprehensive Income be reclassified to profit or loss in
subsequent years",,( 0.48),0.14,0.31,( 0.21)
"Other Comprehensive Income not to be reclassified to profit or loss in
subsequent years:
Re-measurement gains (losses) on defined benefits plans
Income Tax Effect on above
Net other Comprehensive Income not to be reclassified to profit or loss
in subsequent years
Other Comprehensive Income for the year, net of tax, attributable to the
owners of the Company
Less: Share of Other Comprehensive Income (Loss) attributable to Non-
Controlling Interest (30.09.2025 - Rs. 31,371)
Total Comprehensive Income for the period/year, net of tax, attributable
to the owners of the Company
There are no Exceptional Items and Discontinuing Operations
Restated Earning per share of Face Value of Rs. 5/- each
Basic & Diluted (Rs.)",,,,,
,,( 1.02),( 1.27),( 1.31),(0.92)
,,0 .36,0 .44,0 .46,0.32
,,( 0.66),( 0.83),( 0.85),( 0.60)
,,( 1.14),"( 0.69)
0.01","( 0.54)
-","( 0.81)
-"
,,127.79,166.12,225.74,105.64
"Restated Ea
Basic & D",,,,,
,,11.74*,15.26,18.46,6.32
