Particulars,For the six month period,"For the year ended
March 31, 2025",For the year ended,For the year ended
,"ended September 30,",,"March 31, 2024","March 31, 2023"
,2025,,,
Restated Profit after tax (A),134.55,175.83,226.11,106.45
Finance cost (B),12.37,32.20,40.53,56.01
"Depreciation and
Amortization(C)",53.93,116.46,127.98,135.51
Tax expenses (D),47.00,78.83,114.60,79.40
Other Income (E),27.43,57.66,146.77,44.16
,period ended,,"March 31, 2024",
,"September 30, 2025",,,
Restated Profit after tax (A),134.55,175.83,226.11,106.45
Finance cost (B),12.37,32.20,40.53,56.01
Tax expenses (C),47.00,78.83,114.60,79.40
Other Income (D),27.43,57.66,146.77,44.16
"Earning before Interest and Taxes
(A+B+C-D)",166.49,229.20,234.47,197.70
