,period ended,,,
,"September 30, 2025",,,
Equity share capital (A),54.41,13.60,13.60,16.70
"Instruments in the nature of
Equity (B)",-,-,-,-
Other equity (C)*,"1,160.11","1,072.00",898.89,777.90
Net Worth (D=A+B+C),"1,214.52","1,085.60",912.49,794.60
"Restated Profit after tax for the
year (E)**",128.93,166.82,226.28,106.45
"Return on Net Worth (%)
(E/D)",10.62%***,15.37%,24.80%,13.40%
Particulars,For the six,"For the year
ended March
31, 2025",For the year,For the year
,month period,,ended March,ended March
,ended,,"31, 2024","31, 2023"
,"September 30,",,,
,2025,,,
Net Worth (A),"1,214.52","1,085.60",912.49,794.60
Number of Equity Shares outstanding as at the end of the period (B),"10,88,25,400","10,88,25,400","10,88,25,400","13,36,25,400"
Net Asset Value per Equity Share (A/B),111.60,99.76,83.85,59.46
