Gross Block,,,,,Depreciation / Amortization,,,,,Net Block
Description,Opening,Additions,"Deduction/
Adjustments",Closing,Opening,"For the
Period","Impairment For
The Period","Deduction/
Adjustments",Closing,Closing
"(A) Property, Plant and Equipment:
Freehold Land
Buildings
Roads
Plant & Machineries
Windmills
Office Equipments
Furniture & Fixtures
Computers
Vehicles","20.18
198.56
12.80
71.40
1,784.72
7 .76
11.31
5 .94
28.65",,,,,,,,"-
1 03.75
9.80
5 3.59
1 ,151.97
6.32
5.02
4.89
1 7.52","2 0.18
9 5.17
3 .00
2 4.03
6 35.89
2 .46
6 .32
1 .38
1 2.21"
,,-,-,2 0.18,-,-,-,-,,
,,0.37,0.01,1 98.92,100.88,2.88,-,0.01,,
,,-,-,1 2.80,9 .40,0.40,-,-,,
,,6.25,0.03,7 7.62,51.58,2.04,-,0.03,,
,,3.14,-,"1 ,787.86","1,108.65",43.32,-,-,,
,,1.06,0.04,8.78,5 .93,0.43,-,0.04,,
,,0.03,-,1 1.34,4 .10,0.92,-,-,,
,,0.56,0.23,6.27,4 .66,0.45,-,0.22,,
,,1.90,0.82,2 9.73,16.19,1.97,-,0.64,,
Total (A),"2,141.32",13.31,1.13,"2 ,153.50","1,301.39",52.41,-,0.94,"1 ,352.86",8 00.64
"(B) Intangible (Acquired):
Software
Rights of Way","8 .61
6 .32",,,,,,,,"7.66
0.70","1 .29
5 .62"
,,"0.34
-",-,8.95,7 .29,0.37,-,-,,
,,,-,6.32,0 .64,0.06,-,-,,
Total (B),14.93,0.34,-,1 5.27,7 .93,0.43,-,-,8.36,6 .91
"(C) Right of Use Assets:
Land
Buildings","11.34
5 .07",,,,,,,,"1.58
2.19","1 3.20
3 .50"
,,3.44,-,1 4.78,1 .31,0.27,-,-,,
,,0.62,-,5.69,1 .37,0.82,-,-,,
Total (C),16.41,4.06,-,2 0.47,2 .68,1.09,-,-,3.77,1 6.70
(D) Capital Work in Progress,,,,,,,,,,4 29.30
Total (A+B+C+D),"2,172.66",17.70,1.13,"2 ,189.24","1,312.00",53.93,-,0.94,"1 ,364.98","1,253.55"
Gross Block,,,,,Depreciation / Amortization,,,,,Net Block
Description,Opening,Additions,"Deduction/
Adjustments",Closing,Opening,"For the
Year","Impairment For
The Year","Deduction/
Adjustments",Closing,Closing
"(A) Property, Plant and Equipment:
Freehold Land
Buildings
Roads
Plant & Machineries
Windmills
Office Equipments
Furniture & Fixtures
Computers
Vehicles","20.18
204.43
11.77
65.58
1,784.33
6 .70
5 .50
5 .12
22.30",,,,,,,,"-
1 00.88
9.40
5 1.58
1 ,108.65
5.93
4.10
4.66
1 6.19","2 0.18
9 7.69
3 .40
1 9.82
6 76.07
1 .83
7 .20
1 .28
1 2.46"
,,-,-,2 0.18,-,-,-,-,,
,,5.02,10.89,1 98.56,98.16,6.25,-,3.53,,
,,1.03,-,1 2.80,8 .34,1.06,-,-,,
,,6 .29,0.47,7 1.40,48.69,3.26,-,0.37,,
,,0.39,-,"1 ,784.72","1,009.95",98.70,-,-,,
,,1.35,0.29,7.76,5 .49,0.72,-,0.28,,
,,6.63,0.82,1 1.31,4 .57,0.25,-,0.72,,
,,1.10,0.28,5.94,4 .12,0.78,-,0.24,,
,,10.18,3.83,2 8.65,15.14,3.24,-,2.19,,
Total (A),"2,125.91",31.99,16.58,"2 ,141.32","1,194.46",114.26,-,7.33,"1 ,301.39",8 39.93
"(B) Intangible (Acquired):
Software
Rights of Way","7 .68
6 .32",,,,,,,,"7.29
0.64","1 .32
5 .68"
,,1.12,0.19,8.61,6 .71,0.58,-,-,,
,,-,-,6.32,0 .52,0.12,-,-,,
Total (B),14.00,1.12,0.19,1 4.93,7 .23,0.70,-,-,7.93,7 .00
"(C) Right of Use Assets:
Land
Buildings","7 .57
1 .25",,,,,,,,"1.31
1.37","1 0.03
3 .70"
,,3.77,-,1 1.34,0 .93,0.38,-,-,,
,,3.82,-,5.07,0 .25,1.12,-,-,,
Total (C),8 .82,7.59,-,1 6.41,1 .18,1.50,-,-,2.68,1 3.73
(D) Capital Work in Progress,,,,,,,,,,3 52.23
Total (A+B+C+D),"2,148.73",40.70,16.77,"2 ,172.66","1,202.87",116.46,-,7.33,"1 ,312.00","1,212.89"
Gross Block,,,,,Depreciation / Amortization,,,,,Net Block
Description,Opening,Additions,"Deduction/
Adjustments",Closing,Opening,"For the
Year","Impairment For
The Year","Deduction/
Adjustments",Closing,Closing
"(A) Property, Plant and Equipment:
Freehold Land
Buildings
Roads
Plant & Machineries
Windmills
Office Equipments
Furniture & Fixtures
Computers
Vehicles","19.41
203.14
11.77
60.57
1,952.60
7 .42
6 .13
8 .36
21.03",,,,,,,,"-
9 8.16
8.34
4 8.69
1 ,009.95
5.49
4.57
4.12
1 5.14","2 0.18
1 06.27
3 .43
1 6.89
7 74.38
1 .21
0 .93
1 .00
7 .16"
,,1.00,0.23,2 0.18,-,-,-,-,,
,,1.52,0.23,2 04.43,91.78,6.54,-,0.16,,
,,-,-,1 1.77,7 .20,1.14,-,-,,
,,5 .94,0.93,6 5.58,46.55,2.89,-,0.75,,
,,5.37,173.64,"1 ,784.33","1,035.43",112.09,-,137.57,,
,,0.43,1.15,6.70,5 .85,0.72,-,1.08,,
,,0.22,0.85,5.50,5 .13,0.24,-,0.80,,
,,0.74,3.98,5.12,7 .18,0.72,-,3.78,,
,,3.56,2.29,2 2.30,14.72,2.51,-,2.09,,
Total (A),"2,290.43",18.78,183.30,"2 ,125.91","1,213.84",126.85,-,146.23,"1 ,194.46",9 31.45
"(B) Intangible (Acquired):
Software
Rights of Way",6 .92,,,,,,,,"6.71
0.52","0 .97
5 .80"
,,0.95,0.19,7.68,6 .38,0.52,-,0.19,,
,6 .32,-,-,6.32,0 .40,0.12,-,-,,
Total (B),13.24,0.95,0.19,1 4.00,6 .78,0.64,-,0.19,7.23,6 .77
"(C) Right of Use Assets:
Land
Buildings","4 .19
-",,,,,,,,"0.93
0.25","6 .64
1 .01"
,,3.38,-,7.57,0 .69,0.24,-,-,,
,,1.25,-,1.25,-,0 .25,-,-,,
Total (C),4 .19,4.63,-,8.82,0 .69,0.49,-,-,1.18,7 .64
(D) Capital Work in Progress,,,,,,,,,,2 3.45
Total (A+B+C+D),"2,307.86",24.36,183.49,"2 ,148.73","1,221.31",127.98,-,146.42,"1 ,202.87",9 69.31
Gross Block,,,,,Depreciation/Amortization,,,,,Net Block
Description,Opening,Additions,"Deduction/
Adjustments",Closing,Opening,"For the
Year","Impairment For
The Year","Deduction/
Adjustments",Closing,Closing
"(A) Property, Plant and Equipment:
Freehold Land
Buildings
Roads
Plant & Machineries
Windmills
Office Equipments
Furnitue & Fixtures
Computers
Vehicles","19.25
182.85
9 .15
60.87
1,629.55
6 .56
6 .38
7 .63
18.68","0.16
26.64
2.62
3.42
323.42
1.09
0.32
1.00
3.47","0.00
6.35
-
3.73
0.37
0.23
0.57
0.27
1.12","1 9.41
2 03.14
1 1.77
6 0.57
1 ,952.60
7.42
6.13
8.36
2 1.03","-
90.24
5 .82
47.37
914.32
5 .28
5 .45
6 .97
13.75","-
6.03
1.38
2.55
121.46
0.79
0.22
0.48
1.99","-
-
-
-
-
-
-
-
-","-
4.49
-
3.37
0.35
0.22
0.54
0.26
1.02","-
9 1.78
7.20
4 6.55
1 ,035.43
5.85
5.13
7.18
1 4.72","1 9.41
1 11.36
4 .57
1 4.02
9 17.17
1 .57
1 .00
1 .18
6 .31"
Total (A),"1,940.92",362.14,12.64,"2 ,290.43","1,089.19",134.90,-,10.25,"1 ,213.84","1,076.60"
"(B) Intangible:
Software
Rights of Way","6 .63
3 .54","0.33
2.78","0.04
-","6.92
6.32","6 .07
0 .29","0.35
0.11","-
-","0.04
-","6.38
0.40","0 .55
5 .92"
Total (B),10.17,3.11,0.04,1 3.24,6 .36,0.46,-,0.04,6.78,6 .47
"(C) Right of Use Assets:
Land",2 .86,1.33,-,4.19,0 .54,0.15,-,-,0.69,3 .50
Total (C),2 .86,1.33,-,4.19,0 .54,0.15,-,-,0.69,3 .50
(D) Capital Work in Progress,,,,,,,,,,4 .40
Total (A+B+C+D),"1,953.95",366.58,12.69,"2 ,307.86","1,096.09",135.51,-,10.29,"1 ,221.31","1,090.97"
