"Powerica Limited
CIN: U31100MH1984PLC032825
Notes to the Restated Consolidated Financial Infomation
(All amounts in Indian Rupees crores, except share data and where otherwise stated)",,,,,,,,
22.4) Reconciliation of shares outstanding at the beginning and at the end of the reporting period/year:,,,,,,,,
,30.09.2025,,31.03.2025,,31.03.2024,,31.03.2023,
,Equity Shares,"Preference
Shares",Equity Shares,"Preference
Shares",Equity Shares,Preference Shares,Equity Shares,Preference Shares
"Shares outstanding at the beginning of the
period/year
Add: Issue of Bonus Equity Shares
Add: Preference Shares issued pursuant to
common control transaction
Less: Equity Shares extinguished pursuant to Buy
Back
Less: Preference Shares extinguished pursuant to
Redemption
Shares outstanding at the end of the period/year","2,72,06,350
8,16,19,050
-
-
-","-
-
-
-
-","2,72,06,350
-
-
-
-","99,27,834
-
-
-
9 9,27,834","3,34,06,350
-
-
62,00,000
-","-
-
9 9,27,834
-
-","3,34,06,350
-
-
-
-","-
-
-
-
-"
,"1 0,88,25,400",-,"2,72,06,350",-,"2 ,72,06,350","9 9,27,834","3 ,34,06,350",-
22.5) Details of equity shareholdings by the Promoter’s and Promoter Group of the Company:,,,,,,,,
Name of Shareholder,,,,30.09.2025,,31.03.2025,,"% Change in the
period"
,,,,"No. of Equity
Shares held
of Rs. 5",% of holding,"No. of Equity
Shares held of Rs.
5",% of holding,
"Mr. Naresh Chander Oberoi
Mr. Bharat Oberoi
Ms. Renu Oberoi
Mr. Jai Ram Oberoi
Mr. Naresh Chander Oberoi (Trustee of Naresh Oberoi Family Trust, Beneficiaries - Mr. Bharat Oberoi
- 45% and Mr. Jai Ram Oberoi - 55%)
Mr. Jai Ram Oberoi (Trustee of Bharat Oberoi Family Trust, Beneficiary - Bharat Oberoi - 100%) *
Warmond Fiduciary Services Limited (Trustee of Kabir and Kimaya Family Private Trust, Beneficiary -
Ms. Renu Oberoi - 100%)",,,,"3,26,400
5 ,51,828
1 ,85,348
4,000
3 ,80,00,000
5 ,22,10,200
1 ,75,36,428","0 .30
0 .51
0 .17
0 .00
34.92
47.98
16.11","81,600
1,37,957
46,337
1,000
95,00,000
1,30,52,550
43,84,107","0.30
0.51
0.17
0.00
34.92
47.98
16.11","-
-
-
-
-
-
-"
"* Pursuant to the change of trustee effective June 2, 2025",,,,,,,,
Name of Shareholder,,,,31.03.2025,,31.03.2024,,"% Change in the
year"
,,,,"No. of Equity
Shares held
of Rs. 5",% of holding,"No. of Equity
Shares held of Rs.
5",% of holding,
"Mr. Naresh Chander Oberoi
Mr. Bharat Oberoi
Ms. Renu Oberoi
Mr. Jai Ram Oberoi
Mr. Naresh Chander Oberoi (Trustee of Naresh Oberoi Family Trust, Beneficiaries - Mr. Bharat Oberoi
- 45% and Mr. Jai Ram Oberoi - 55%)
Mr. Jai Ram Oberoi (Trustee of Bharat Oberoi Family Trust, Beneficiary - Bharat Oberoi - 100%) *
Mr. Pradeep Gupta (Trustee of Bharat Oberoi Family Trust, Beneficiary - Bharat Oberoi - 100%)
Warmond Fiduciary Services Limited (Trustee of Kabir and Kimaya Family Private Trust, Beneficiary -
Ms. Renu Oberoi - 100%)",,,,"8 1,600
1 ,37,957
4 6,337
1,000
9 5,00,000
1 ,30,52,550
-
4 3,84,107","0.30
0.51
0.17
0.00
34.92
47.98
-
16.11","81,600
1,37,957
46,337
1,000
95,00,000
-
1,30,52,550
43,84,107","0.30
0.51
0.17
0.00
34.92
-
47.98
16.11","-
-
-
-
-
47.98
(47.98)
-"
"* Pursuant to the change of trustee effective June 2, 2025",,,,,,,,
Name of Shareholder,,,,31.03.2024,,31.03.2023,,"% Change in the
year"
,,,,"No. of Equity
Shares held
of Rs. 5",% of holding,"No. of Equity
Shares held of Rs.
5",% of holding,
"Mr. Naresh Chander Oberoi
Mr. Kharati Ram Puri
Mr. Bharat Oberoi
Ms. Renu Oberoi
Mr. Jai Ram Oberoi
Mr. Naresh Chander Oberoi (Trustee of Naresh Oberoi Family Trust, Beneficiaries - Mr. Bharat Oberoi
- 45% and Mr. Jai Ram Oberoi - 55%)
Mr. Pradeep Gupta (Trustee of Bharat Oberoi Family Trust, Beneficiary - Bharat Oberoi - 100%)
Warmond Fiduciary Services Limited (Trustee of Kabir and Kimaya Family Private Trust, Beneficiary -
Ms. Renu Oberoi - 100%)",,,,"8 2,600
-
1 ,37,957
4 6,337
1,000
9 5,00,000
1 ,30,52,550
4 3,84,107","0.30
-
0.51
0.17
0.004
34.92
47.98
16.11","82,600
52,94,808
1,37,95,702
46,33,717
-
95,00,000
-
-","0.25
15.85
41.30
13.87
-
28.44
-
-","0.06
(15.85)
(40.79)
(13.70)
0.00
6.48
47.98
16.11"
Name of Shareholder,,,,31.03.2023,,31.03.2022,,"% Change in the
year"
,,,,"No. of Equity
Shares held
of Rs. 5",% of holding,"No. of Equity
Shares held of Rs.
5",% of holding,
"Mr. Naresh Chander Oberoi
Mr. Kharati Ram Puri
Mr. Bharat Oberoi
Ms. Renu Oberoi
Mr. Naresh Chander Oberoi (Trustee of Naresh Oberoi Family Trust, Beneficiaries - Mr. Bharat Oberoi
- 45% and Mr. Jai Ram Oberoi - 55%)",,,,"8 2,600
5 2,94,808
1 ,37,95,702
4 6,33,717
9 5,00,000","0.25
15.85
41.30
13.87
28.44","54,76,000
52,94,808
1,79,02,302
46,33,717
-","16.39
15.85
51.91
13.87
-","(16.14)
-
(10.61)
-
28.44"
