"Powerica Limited
CIN: U31100MH1984PLC032825
Notes to the Restated Consolidated Financial Infomation
(All amounts in Indian Rupees crores, except share data and where otherwise stated)",,,,,
23. Other Equit,y:,,,,
"Capital Reserve
Securities Premium
Capital Redemption Reserve
General Reserve",,"0 .16
-
-
-","0 .16
1 .94
14.83
-","0 .16
1 .94
4 .90
-","0 .16
1 .94
1 .80
2 .85"
Amalgamation Adjustment Deficit Account,,(78.86),(78.86),(78.86),(78.86)
Retained Earnings,,"1,238.97","1,134.08",970.90,850.16
Items of Other Comprehensive Income,,(2.50),,,
"- Remeasure
- Foreign Cu",,,0.14,"(1.01)
0.33
0.31",(0.16)
,,1 .70,0 .50,,0 .21
- Cash Flow,,(0.48),(1.84),,(0.22)
,,"1,158.99","1,070.95",898.67,777.88
23.1 Capital Reserves,,,,,
"Balance at the beginning of the period/year
Add: Additions during the period/year",,"0.16
-","0.16
-","0 .16
-","0 .16
-"
Less: Utilisation during the period/year,,-,-,,-
Balance at the end of the period/year,,0 .16,0 .16,0 .16,0 .16
"Nature and Purpose
Company’s capital reserve is mainly on account of receipts of government subsidies/grants for setting up the factory in EOU Unit.
23.2 Capital Redemption Reserves:",,,,,
"Balance at the beginning of the period/year
Add: Additions during the period/year pursuant to buyback of equity shares
Add: Additions during the period/year pursuant to redemption of preference shares
Less: Utilisation during the period/year
Balance at the end of the period/year",,"14.83
-
-
14.83","4.90
-
9.93
-","1 .80
3 .10
-
-","1 .80
-
-
-"
,,-,1 4.83,4 .90,1 .80
"Nature and Purpose
TheCompaniesAct,2013requiresthatwhenaCompanypurchasesitsownsharesoutoffreereservesorsecuritiespremiumaccount,asumequaltothenominalvalueofthesharessopurchased
shallbetransferredtoacapitalredemptionreserve.ThisreservealsorepresentsamountstransferredonredemptionofNon-CumulativeRedeemablePreference.Thereserveisutilisedinaccordance
with the provisions of Section 69 of the Companies Act, 2013.
23.3 Securities Premium",,,,,
