"29.1) Details of Micro and Small Enterprises As defined Under the Micro, Small and Medium Enterprise Development Act, 2006:",,,,,,,
"The information regarding Micro Enterprises and Small Enterprises has been determined to the extent such parties have been identified on the basis of information available with the Group. This has
been relied upon by the auditors.",,,,,,,
"i
ii
iii","Principal amount and the interest due thereon remaining unpaid to any supplier as at the end of the
accounting period/year (Micro Enterprises and Small Enterprises)",,,61.23,26.38,16.02,7 .02
,"The amount of interest paid by the buyer in terms of Section 16 of the Micro, Small and Medium
Enterprises Development Act, 2006 along with the amount of the payment made to the supplier
beyond the appointed day during each accounting period/year",,,-,-,-,-
,"The amount of interest due and payable for the period of delay in making payment but without
adding the interest specified under the Micro, Small and Medium Enterprises Development Act, 2006",,,-,-,-,-
iv,The amount of interest accrued and remaining unpaid at the end of each accounting period/year,,,-,-,-,-
v,"The amount of further interest remaining due and payable even in the succeeding years, until such
date when the interest dues above are actually paid to the small enterprise, for the purpose of
disallowance of a deductible expenditure under Section 23 of the Micro, Small and Medium
Enterprises Development Act, 2006.",,,-,-,-,-
"Includes amounts payable to trade creditors Rs. 61.23 crores (31.03.2025- Rs. 26.38 crores, 31.03.2024 - Rs. 15.39 crores, 31.03.2023 - Rs. 7.02 crores) and capital creditors Nil (31.03.2025 - Nil, 31.03.2024 -
0.63 crores, 31.03.2023 - Nil)",,,,,,,
"29.2) Ageing for trade payables from the due date of payment for each of the category as at September 30, 2025",,,,,,,
Particulars,,Outstanding for following periods from due date of payment,,,,,Total
,,Not due,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",
"Undisputed du
Undisputed du
Disputed dues-
Disputed dues",es- MSME,13.24,47.04,0.87,0.08,-,61.23
,es - Others,288.16,37.32,0.20,0.21,0.37,326.26
,MSME,-,-,-,-,-,-
,- Others,-,-,-,-,-,-
