"(a) Defined Contribution Plans:
The Group offers its employees definedcontribution plans in the form ofProvident Fund(PF)andEmployees’ Pension Scheme (EPS)withthe
government,andcertainstateplanssuchasEmployees’StateInsurance(ESI).PFandEPScoversubstantiallyallregularemployeesandtheESI
covers eligible workers. Contributions are made to the Government’s funds. While both the employees and the Group pay predetermined
contributionsintotheProvidentFundandtheESIScheme,contributionsintothepensionfundismadeonlybytheCompany.Thecontributionsare
normally based on a certain portion of the employee’s salary.
During the period/year, the Group has recognised the following amounts:
30.09.2025 31.03.2025 31.03.2024 31.03.2023
Provident Fund and Employee’s Pension Scheme 2.39 4 .93 4 .36 3.82
Employees State Insurance 0.01 0 .01 0 .02 0.02
2.40 4.94 4.38 3 .84
(b) Defined Benefit Plans
In respect of Holding Company
Gratuity: Company makes annual contributions to the Employees’ Group Gratuity-cum Life Assurance (Cash Accumulation) Scheme of the LIC, a
funded defined benefit plan for qualifying employees. The scheme provides for payment to vested employees as under:
a) On normal retirement / early retirement / withdrawal / resignation:
As per the provisions of Payments of Gratuity Act, 1972 with vesting period of 5 years of service
b) On the death in service:
As per the provisions of Payment of Gratuity Act, 1972 without any vesting period.
In respect of Indian Subsidiaries
Subsidiarieshaveanobligationtowardsgratuity,anunfundeddefinedbenefitretirementplancoveringeligibleemployees.Everyemployeehas
completed 5 years or more of service gets a gratuity on departure at 15 days salary (last drawn salary) for each completed year of service.
Company'sliabilitytowardsgratuityisdeterminedusingtheProjectedUnitCreditMethodaspertheactuarialvaluationcarriedoutatthebalance
sheet date.
In respect of Foreign Subsidiary
Provision for employees’ end of service benefits is made in accordance with the respective Country labour laws and is based on the current
remunerationandperiodofserviceattheendofthereportingperiod.Provisionismadeforestimatedliabilityforemployees’entitlementtoannual
leave as a result of services rendered by the employees up to the end of the reporting period.
Aforesaidpost-employmentbenefitplanstypicallyexposetheCompanytoactuarialriskssuchas:investmentrisk,interestraterisk,longevityrisk
and salary risk.
Investment Risk Thepresentvalueofthedefinedbenefitliabilityiscalculatedusingadiscountratewhichisdeterminedby
reference to market yields at the end of the reporting period on government bonds.
Interest Risk Adecreaseinthebondinterestratewillincreasetheplanliability;however,thiswillbepartiallyoffsetby
an increase in the return on the plan's investments.
Longevity Risk The present value of the defined benefit liability is calculated by reference to the best estimate of the
mortalityofplanparticipantsbothduringandaftertheiremployment.Anincreaseinthelifeexpectancyof
the plan participants will increase the plan's liability.
Salary Risk Thepresentvalueofthedefinedbenefitliabilityiscalculatedbyreferencetothefuturesalariesofplan
participants. As such, an increase in salary of the plan participants will increase the plan's liability.
i)Thefollowingtablessummarisethecomponentsofdefinedbenefitexpenserecognisedintherestatedconsolidatedstatementofprofitorloss/OCI
andthefundedstatusandamountsrecognisedintherestatedstatementofassetsandliabilitiesfortherespectiveplans:",,,,,,,,
,,"Gratuity
(Funded)","Gratuity
(Unfunded)","Gratuity
(Funded)","Gratuity
(Unfunded","Gratuity
(Funded)","Gratuity
(Unfunded)","Gratuity
(Funded)"
,,30.09.2025,30.09.2025,31.03.2025,")
31.03.2025",31.03.2024,31.03.2024,31.03.2023
,i) Changes in Defined Benefit Obligation,,,,,,,
,Opening defined benefit obligation,17.84,0.07,1 4.99,0 .01,1 2.74,-,1 1.15
,Current service cost,0.67,0.07,1 .17,0 .09,1 .01,0 .01,0 .89
,Interest cost,0.59,"Rs. 23,974",1 .05,"Rs. 3,969",0 .93,-,0 .78
,Actuarial loss / (gain),,,,,,,
,- changes in financial assumptions,0.09,"Rs. 16,679",0 .71,"Rs. 33,071",0 .34,-,( 0.37)
,- changes in demographic assumptions,-,-,-,-,-,-,-
,- experience adjustments,1.00,( 0.01),0 .66,( 0.03),0 .90,-,1 .18
,Benefit (paid),( 0.41),-,( 0.74),-,( 0.93),-,( 0.89)
,Closing defined benefit obligation,1 9.78,0 .13,1 7.84,0 .07,1 4.99,0 .01,1 2.74
,ii) Changes in Fair Value of Assets,,,,,,,
,Opening value of plan assets,17.59,-,1 4.30,-,1 2.11,-,1 1.47
,Interest Income,0.60,-,1 .04,-,0 .92,-,0 .84
,"Return on plan assets excluding amounts included
in Interest Income",0.05,-,0 .07,-,( 0.06),-,( 0.11)
,Contributions of employer,4.29,-,2 .92,-,1 .96,-,1 .11
,Benefits (paid),( 0.41),-,( 0.74),-,( 0.63),-,( 1.20)
,Closing value of plan assets,2 2.13,-,1 7.59,-,1 4.30,-,1 2.11
