"Powerica Limited
CIN: U31100MH1984PLC032825
Notes to the Restated Consolidated Financial Infomation",,,,,,,
(All,"amounts in Indian Rupees crores, except share data and where otherwise stated)",,,,,,
"As at 31.03.2025
Financial Instruments by Carrying Amount Fair Value
Category
FVTPL Derivatives Amortised Cost Level I Level II Level III
designated as
hedge
Financial Assets:
1 1.39 - - 11.39 - -
Non-Current Investments – Others
Non-Current Trade Receivables - - 2.34 - - -
Non-Current Loans - - 0.40 - - -
Other Non-Current Financial - - 12.54 - - -
Assets
Current Investments 3 54.67 - - 3 54.67 - -
Trade Receivables - - 399.26 - - -
Cash & Cash Equivalents - - 21.40 - - -
Other Bank Balance - - 21.68 - -
Current Loans - - 0.68 - - -
Other Current Financial Assets
Derivative Instruments - 0.22 - - 0.22 -
Others - - 4.81 - - -
Financial Liabilities:
Non-Current Borrowings - - 235.77 - - -
Non-Current Lease Liabilities - - 9.73 - - -
Current Borrowings - - 65.03 - - -
Current Lease Liabilities - - 1.35 - - -
Trade Payables - - 263.58 - - -
Other Current Financial Liabilities - - 296.40 - - -
As at 31.03.2024
Financial Instruments by Carrying Amount Fair Value
Category
FVTPL Derivatives Amortised Cost Level I Level II Level III
designated as
hedge
Financial Assets:
2 7.99 - - 27.99 - -
Non-Current Investments – Others
Non-Current Trade Receivables - - 9.36 - - -
Non-Current Loans - - 0.87 - - -
Other Non-Current Financial
Assets
Derivative Instruments - 0.35 - - 0.35 -
Others - - 13.11 - - -
Current Investments 3 05.42 - - 3 05.42 - -
Trade Receivables - - 318.49 - - -
Cash & Cash Equivalents - - 25.17 - - -
Other Bank Balance - - 7.40 - - -
Current Loans - - 0.82 - - -
Other Current Financial Assets
Derivative Instruments - 0.12 - - 0.12 -
Others - - 13.42 - - -
Financial Liabilities:
Non-Current Borrowings - - 135.62 - - -
Non-Current Lease Liabilities - - 4.34 - - -
Other Non - Current Financial - - 1.00 - - -
Liabilities
Current Borrowings - - 41.90 - - -
Current Lease Liabilities - - 0.39 - - -
Trade Payables - - 305.17 - - -
Other Current Financial Liabilities - - 296.41 - - -",,,,,,,
,"Financial Instruments by
Category",Carrying Amount,,,Fair Value,,
,,FVTPL,"Derivatives
designated as
hedge",Amortised Cost,Level I,Level II,Level III
,Financial Assets:,,,,,,
,Non-Current Investments – Others,2 7.99,-,-,27.99,-,-
,Non-Current Trade Receivables,-,-,9.36,-,-,-
,Non-Current Loans,-,-,0.87,-,-,-
,"Other Non-Current Financial
Assets",,,,,,
,Derivative Instruments,-,0.35,-,-,0.35,-
,Others,-,-,13.11,-,-,-
,Current Investments,3 05.42,-,-,3 05.42,-,-
,Trade Receivables,-,-,318.49,-,-,-
,Cash & Cash Equivalents,-,-,25.17,-,-,-
,Other Bank Balance,-,-,7.40,-,-,-
,Current Loans,-,-,0.82,-,-,-
,Other Current Financial Assets,,,,,,
,Derivative Instruments,-,0.12,-,-,0.12,-
,Others,-,-,13.42,-,-,-
,Financial Liabilities:,,,,,,
,Non-Current Borrowings,-,-,135.62,-,-,-
,Non-Current Lease Liabilities,-,-,4.34,-,-,-
,"Other Non - Current Financial
Liabilities",-,-,1.00,-,-,-
,Current Borrowings,-,-,41.90,-,-,-
,Current Lease Liabilities,-,-,0.39,-,-,-
,Trade Payables,-,-,305.17,-,-,-
,Other Current Financial Liabilities,-,-,296.41,-,-,-
