Movements in cash flow hedging reserve,
"Balance as at April 1, 2022",0.64
Add: Changes in fair value of the effective portion of outstanding cash flow derivative (net of settlement),(0.33)
Less: Amounts re-classified to restated consolidated statement profit or loss,0.64
Less: Deferred tax,0.12
"As at March 31, 2023",(0.22)
Add: Changes in fair value of the effective portion of outstanding cash flow derivative (net of settlement),0.47
Less: Amounts re-classified to restated consolidated statement profit or loss,0.22
Less: Deferred tax,(0.16)
"As at March 31, 2024",0.31
Add: Changes in fair value of the effective portion of outstanding cash flow derivative (net of settlement),0.22
Less: Amounts re-classified to restated consolidated statement profit or loss,(0.31)
Less: Deferred tax,(0.08)
"As at March 31, 2025",0 .14
Add: Changes in fair value of the effective portion of outstanding cash flow derivative (net of settlement),( 0.73)
Less: Amounts re-classified to profit or loss,( 0.14)
Less: Deferred tax,0 .25
"As at September 30, 2025",(0.47)
